"m.z","int"
102.92584,20
104.90801,14
111.11706,11
115.05434,35
117.03974,19
119.019,92
125.96102,18
128.06202,18
130.06508,28
130.93285,27
131.01886,22
133.03456,22
133.10108,19
134.99637,11
134.9987,20
135.05014,182
137.02938,218
137.04764,17
139.0268,19
141.06971,13
142.94791,148
145.03447,27
147.05006,11
148.94328,13
149.02327,116
149.02941,75
150.03722,145
151.04504,33
152.03471,14
153.00934,194
154.01003,45
154.90723,22
155.00683,46
155.10413,68
156.08072,12
157.08349,60
157.10111,15
159.05008,52
163.04495,44
165.06065,80
171.09895,12
171.11673,15
172.95213,20
174.98505,21
175.08129,30
177.00935,48
177.0606,90
177.09706,64
181.91837,17
184.07327,70
185.11462,26
189.09699,29
190.0685,18
190.96254,20
191.11265,636
192.11333,46
192.11586,21
193.09198,60
193.11028,62
197.13237,13
199.04495,33
199.16903,123
204.90368,23
205.09195,27
206.0998,133
207.07129,14
207.0902,26
207.10769,19
213.0969,15
213.14597,15
215.11273,13
217.09204,23
219.10765,95
221.12319,19
222.07733,58
231.1077,21
231.15894,19
231.17415,17
233.1232,179
235.13868,17
237.90119,11
239.16156,614
240.16498,48
242.85968,18
244.8962,19
245.07829,22
245.12333,21
246.91198,13
247.13892,27
249.10325,18
249.15454,25
253.14102,55
257.15963,95
261.15458,53
263.13378,24
271.15386,11
273.13721,12
273.15461,16
275.17028,635
276.17098,58
276.1737,53
277.16785,68
279.15904,131
280.16242,12
281.08683,40
285.22111,22
287.20666,12
289.14945,33
289.18589,21
290.15711,113
291.14766,25
303.16519,48
303.20149,14
305.21078,86
305.21711,54
306.13463,63
307.22671,19
309.24203,24
317.18087,95
317.22608,21
321.83883,11
323.22165,14
325.20085,85
326.20443,15
337.14926,151
338.15266,11
345.21194,11
346.84437,35
347.19119,26
359.12012,13
359.25774,44
371.26414,29
423.14491,16
429.27862,12
437.16075,15
439.14037,14
439.17638,19
450.13239,14
451.14015,53
452.14331,11
452.14787,90
453.15097,11
453.15555,17
455.32153,18
461.30437,14
465.15501,43
466.16294,71
467.17116,210
468.17425,32
481.18637,152
482.18976,30
482.19415,74
483.16606,15
507.24265,58
507.25552,19
509.25874,22
513.2127,27
526.18392,36
536.43698,163
537.4401,64
540.19985,32
540.4679,43
541.20758,83
555.22361,68
556.22703,12
559.21838,16
561.29067,11
582.40606,103
583.40974,16
607.43547,30
614.23633,350
615.2393,94
616.23475,26
641.41891,11
658.4227,596
659.42543,237
660.42843,24
739.42613,35
739.43805,37
741.44112,24
741.45428,43
743.45715,11
743.46917,26
772.02875,16
772.04146,12
772.05036,19
772.06181,17
772.06944,17
772.07962,19
772.08852,18
772.09869,27
772.1165,32
772.13303,25
772.14703,13
772.15975,11
772.16865,20
772.18646,18
772.19918,20
786.51429,15
791.45682,102
791.4687,166
791.4819,12
792.45965,42
792.47287,77
793.47233,36
793.48425,27
795.48889,11
813.46343,11
892.53229,472
893.53533,349
894.53848,61
