"m.z","int"
104.10697,20
105.00328,44
112.89568,29
115.05413,34
121.03444,109
123.01365,40
123.03194,17
128.06184,30
130.06491,28
131.01862,311
132.98686,61
133.00732,27
133.01614,19
135.00248,3144
136.00585,62
137.04041,30
138.02989,57
138.93619,17
139.02662,69
140.95876,20
150.02995,79
151.0267,63
151.04475,34
151.09506,31
153.00907,52
157.08313,546
160.04505,26
160.99874,17
161.01812,24
163.04463,46
164.92014,107
165.02402,26
165.08826,26
167.03968,664
168.0404,40
169.02837,18
169.03723,61
173.07803,17
175.04482,45
176.97285,40
177.00915,26
177.02395,57
177.06026,21
177.0882,24
179.0509,60
184.98123,18
189.06037,21
190.05568,41
191.03961,211
192.96108,83
192.99303,18
193.02832,25
193.05535,40
193.09177,25
194.95816,16
194.98334,44
198.99685,17
199.04462,21
203.07603,33
205.05529,32
207.07103,45
208.93499,26
209.06145,148
210.95712,32
217.00562,22
217.09168,65
221.05017,475
222.05092,39
223.03874,38
223.04762,21
229.00739,18
231.10725,23
240.9179,31
243.03218,32
247.01589,166
247.10222,139
250.91965,34
252.91669,20
260.94859,28
262.98993,63
266.89369,16
266.91437,24
269.09663,17
271.15376,156
278.90288,27
278.96391,27
281.12287,26
282.88822,50
285.24201,34
289.16412,30
293.19566,117
294.87669,23
298.86202,64
299.13328,23
300.86355,17
300.88458,63
300.89882,20
302.1438,17
303.25214,17
304.97443,33
305.21675,149
306.21972,20
309.20303,22
309.24171,16
310.87493,16
311.20599,28
311.25742,47
313.22157,26
313.27285,65
325.20067,340
325.2344,112
326.20147,29
326.20391,59
326.23745,17
327.19812,30
327.25216,18
329.02678,21
329.26786,37
331.28366,19
332.83224,22
333.24768,62
337.03473,16
338.84044,25
338.94141,16
345.02192,16
346.2944,54
348.30998,21
349.23401,134
350.2371,17
351.2371,23
351.24959,368
352.25315,37
353.26535,266
354.26887,40
354.90894,19
359.02914,17
360.86553,16
361.18517,21
365.22878,67
367.24438,104
371.22673,45
383.23962,57
385.24269,74
387.25835,20
397.24257,67
399.25818,48
409.24255,22
411.25832,85
413.23722,17
413.27408,55
415.23195,74
415.25302,126
435.22149,22
439.25292,79
441.2688,260
442.27229,38
443.28419,207
445.20092,17
451.13873,18
452.14703,36
455.24757,23
457.26336,19
460.22472,24
465.15487,27
466.16281,23
467.17044,117
468.17353,26
481.18576,67
482.19355,38
502.29947,16
507.25516,81
508.25835,20
519.23732,65
533.25298,26
536.43617,88
537.4393,22
540.19907,17
541.20681,27
547.26887,54
548.27668,23
555.22297,50
566.41045,128
567.26411,16
567.41392,30
573.22987,27
582.40567,67
583.40853,17
592.26644,100
593.27432,37
597.27456,26
614.23626,231
615.23924,62
657.41368,20
658.42112,255
659.42486,96
673.33817,28
743.51275,16
766.15859,19
766.16613,18
766.18751,25
766.20134,24
766.20888,20
766.22271,18
766.26798,16
771.54384,24
791.46828,37
792.47114,18
892.53299,422
893.53605,295
894.53921,59
