"m.z","int"
100.07599,23
101.05998,12
103.02426,15
103.05445,10
104.10724,40
105.00349,470
105.07011,24
106.00434,37
106.02815,18
107.00106,30
107.08575,19
109.10136,36
110.00621,632
111.00698,42
111.08058,8
112.00376,62
112.98518,258
113.98598,25
114.06018,16
114.09146,43
114.98223,72
115.03663,6
115.05433,13
115.07548,8
116.9798,8
117.06993,10
118.03503,16
119.0151,6
119.08556,28
120.01983,23
120.08081,11
121.01657,41
121.03465,1411
121.10122,10
122.03545,107
122.03801,8
122.05767,26
123.01386,2297
123.03222,120
123.04168,71
123.11681,6
124.00915,27
124.01463,195
124.01717,6
125.01143,248
125.01806,6
125.09608,13
125.99212,9
127.086,7
128.06195,10
128.96258,15
129.05223,64
130.06511,32
131.01891,178
131.08552,24
133.01643,7
133.03453,70
133.10114,27
133.98077,7
134.0354,6
135.00287,55
135.04156,10
135.04742,48
135.05021,292
135.11676,12
136.02147,12
136.04536,10
136.05091,13
136.07321,78
137.0406,179
137.04764,25
137.05725,81
137.09597,13
138.03018,594
138.03268,65
138.04143,11
138.90629,14
139.02585,11
139.02691,660
139.03352,26
139.03644,48
139.03819,15
140.00394,7
140.01386,10
140.06809,39
140.90341,10
141.06974,6
141.08841,12
142.0651,6
142.07765,9
143.08544,12
143.10655,13
145.03443,36
145.10103,26
147.05014,18
147.05268,6
147.11676,15
149.05734,11
149.06586,11
149.0936,26
150.03024,77
150.03274,6
150.03721,28
150.06097,6
150.08876,7
151.027,114
151.04504,404
151.07289,99
151.11165,48
152.02772,26
152.04584,17
152.93298,6
153.00936,345
153.01632,6
153.02428,103
153.04258,35
153.05212,49
153.12724,6
154.01017,46
154.06502,12
155.00687,82
155.06775,41
155.10416,7
155.10656,8
156.08076,10
157.02928,21
157.04713,9
157.08342,791
157.10105,20
158.08682,34
159.05014,52
159.11676,17
161.02944,21
161.09354,27
162.99372,46
163.04505,183
163.07282,25
163.99434,6
164.04017,7
164.04577,8
164.92043,105
165.02431,135
165.03563,34
165.04267,12
165.05222,16
165.06077,160
165.08855,197
166.02508,9
166.0559,8
166.0776,7
166.09194,10
167.03805,20
167.03997,3564
167.05827,6
167.06775,31
