"m.z","int"
102.92581,6
105.07009,6
107.95059,20
112.89587,38
114.89294,10
115.05431,12
116.98591,6
119.01898,85
119.08559,6
120.01977,9
121.01651,7
125.96101,89
128.06201,15
130.06507,29
130.93275,8
131.01886,72
133.01636,6
133.03446,20
134.99637,14
134.99879,12
135.00279,46
135.05013,37
137.02938,155
138.03017,14
139.0269,26
140.06798,6
142.94792,116
143.08541,6
145.03448,13
145.1697,11
147.04997,7
148.92552,8
148.94329,7
149.02328,18
149.02943,92
150.03016,13
150.03724,14
151.02691,6
151.04506,22
153.00937,100
154.01005,15
155.00675,21
155.08537,9
155.10404,7
156.04192,6
157.00115,8
157.0834,72
159.05011,17
160.96473,6
163.04499,33
164.92036,68
164.9299,37
165.0607,29
165.08848,9
166.95071,7
167.04001,33
169.03756,10
170.96309,15
171.09901,29
172.99615,15
174.89582,10
174.97565,7
174.98512,16
175.0451,11
175.08135,8
176.87533,35
177.00928,13
177.06067,24
177.09699,41
178.87332,7
179.0763,16
179.104,6
180.89424,33
180.90376,18
182.16496,6
182.92615,14
183.01756,13
183.11653,7
184.0732,32
185.1147,52
186.93558,17
188.97366,13
189.06071,8
190.96263,24
191.03994,9
191.07626,7
191.10413,29
191.11259,40
192.85227,6
193.05566,6
193.09208,32
196.18064,7
196.84728,6
196.85694,34
196.8684,16
196.87773,21
198.19625,6
199.04489,12
199.16898,6
199.92883,26
200.21202,6
201.08853,8
203.0761,6
203.11265,12
203.93836,19
204.92241,7
204.93023,9
204.94606,9
205.09207,15
205.12847,7
207.07124,13
207.10746,12
207.13538,7
211.19146,7
212.84223,214
212.8518,180
213.14593,54
214.83801,9
214.84043,35
214.84977,31
216.2069,8
217.09201,20
217.15611,6
218.22239,12
218.93621,8
219.10761,17
220.92524,15
221.05046,7
221.12335,18
222.87895,7
225.20712,6
227.11249,8
229.11984,7
230.22253,80
230.92221,7
231.17413,6
232.23819,9
233.12318,13
234.21732,7
234.83372,10
235.13888,10
237.20703,7
239.0445,9
239.1587,6
239.16155,328
239.22273,9
240.16497,32
244.8962,7
245.07851,32
245.12332,7
246.21744,36
247.10254,12
248.94041,11
249.15454,12
250.80781,22
250.88412,15
252.80589,8
253.14102,7
253.23847,7
254.82335,15
255.13569,64
256.13908,6
256.82041,18
257.15965,14
258.81758,6
261.0523,6
261.14384,8
263.90525,7
264.9128,6
267.07593,8
268.24933,8
270.82966,10
270.98589,16
271.15416,11
274.8078,30
275.17032,126
276.17374,10
276.80606,6
277.16789,16
278.86125,6
278.90294,9
280.85039,7
281.08687,12
285.22117,12
288.8402,6
290.15717,14
290.82903,15
292.81797,12
294.8559,12
294.87691,8
296.28047,7
296.84512,7
302.93384,13
303.16496,9
305.21087,23
305.21719,12
306.13472,10
310.29612,7
310.85096,20
311.25782,11
312.83979,8
313.22196,6
313.27323,9
314.77888,8
314.8557,6
317.11502,28
317.18064,14
318.11804,6
322.8748,6
325.20097,20
329.0274,8
330.77404,9
332.81196,7
333.24827,10
337.14904,10
337.3069,8
338.82805,11
347.19136,11
348.80659,6
351.32266,7
353.33824,6
354.8226,9
359.25753,15
360.97527,7
370.81778,7
388.82782,7
394.76619,6
398.79423,6
410.74012,10
416.80487,7
423.14474,11
424.15277,11
425.16024,8
437.16058,15
438.16802,7
439.17677,13
451.14,23
451.17636,9
452.14373,6
452.14772,40
453.1554,13
453.192,8
455.17109,6
461.30482,16
465.15547,20
466.1634,35
467.17103,92
468.17471,23
469.16838,10
480.17912,8
481.18687,87
482.19026,15
482.19466,30
483.16594,12
483.19806,7
498.18942,8
513.21261,11
526.18384,19
536.43691,76
537.44004,18
540.19979,9
541.20752,53
542.21059,12
555.22357,60
556.22699,14
566.41176,149
567.41443,54
581.39832,8
582.40606,35
583.4089,7
584.52407,6
589.46715,6
599.21357,6
607.43549,11
613.22955,15
614.23727,194
615.24024,69
616.23479,24
657.41437,14
658.4228,181
659.42553,65
660.42854,9
697.386,6
730.56101,13
769.59951,6
769.61091,11
769.62356,9
769.63622,11
769.64635,19
769.65774,13
769.66787,15
769.67926,13
769.68685,16
769.70458,17
769.71977,14
769.73116,15
769.74509,15
769.76155,12
769.77041,9
769.78181,11
769.79953,12
769.83625,7
786.51332,7
791.45716,40
791.46904,66
792.45999,19
792.47321,25
807.44417,9
809.44464,9
826.5345,9
837.4749,13
838.47867,10
892.53284,313
893.53589,200
894.54063,43
895.53435,15
957.53702,6
957.55107,18
958.55488,6
