"m.z","int"
104.10732,18
105.00356,111
105.07012,6
106.02816,9
106.96315,6
107.00107,9
107.96162,20
110.00622,270
110.99673,6
111.00699,16
112.00377,26
112.9852,22
114.09155,12
116.07074,8
119.08558,6
120.01976,6
120.08082,9
121.01658,6
121.03466,381
122.03547,29
122.94854,28
123.01395,652
123.03223,30
123.04178,11
124.00916,6
124.01465,44
124.93757,7
124.95321,7
124.96415,9
125.01145,64
125.09609,6
125.98358,37
126.96889,19
127.96528,6
129.05224,9
130.06522,25
131.01892,52
133.03455,10
133.10116,6
135.00288,34
135.04744,56
135.05023,37
135.95624,8
136.07322,25
137.04062,34
137.05726,10
138.03019,125
138.03279,10
138.0525,25
139.02703,146
139.03364,10
139.03646,10
140.95887,35
142.93855,7
145.10105,7
149.96099,14
149.97199,16
150.03026,20
151.02702,19
151.02779,8
151.04517,85
151.07291,16
152.02774,9
152.97191,8
153.00938,97
153.02442,26
153.0426,7
153.05214,11
154.01019,26
155.00689,14
157.02942,14
157.08356,194
157.10118,6
158.08684,10
158.92205,18
159.05016,9
161.02946,6
161.09356,7
163.02767,7
163.04507,40
163.97656,8
164.92045,20
165.02446,36
165.06079,32
165.08858,42
167.03807,8
167.03999,1073
167.0679,6
168.04084,81
168.04329,21
168.97932,8
169.00199,6
169.03755,123
169.04419,7
169.12227,26
171.11679,7
173.05756,9
173.07835,9
175.04513,21
177.00932,19
177.0244,13
177.06071,36
177.08851,39
178.97141,6
178.98745,6
179.02266,7
179.03999,11
179.05121,13
179.06783,6
179.07649,26
179.1042,19
179.98246,12
180.97944,34
180.99027,7
181.00196,12
181.08355,10
181.9872,11
184.02089,14
184.07329,32
185.1148,10
185.13242,7
187.01041,6
191.0227,15
191.04008,50
191.0764,12
193.00192,9
193.03848,10
193.05566,29
193.09208,32
193.11992,12
194.9696,12
195.09927,6
196.00289,8
197.07836,8
199.0451,20
199.14819,9
200.98026,7
201.02807,8
203.07634,9
205.05576,12
205.98727,9
207.01994,7
207.07133,21
207.13547,12
207.96648,8
208.00276,10
209.06175,17
209.06963,11
209.1148,9
209.9933,6
217.09198,21
217.15627,9
219.07126,10
221.05046,71
221.15103,19
221.99316,6
223.0489,9
223.0963,7
223.99767,6
224.03424,11
224.9369,10
231.1744,9
233.98192,7
235.16697,13
235.99783,7
239.08888,8
243.08389,13
247.10248,13
248.03404,7
249.18224,9
253.14076,21
255.88143,7
263.0797,6
279.15897,33
281.08676,6
285.22108,20
302.14397,6
305.21091,18
305.21691,8
307.22653,8
309.20351,13
311.2579,16
317.22631,6
325.20114,38
359.25756,12
411.14499,6
423.14472,9
424.15276,9
437.16066,18
438.16865,8
439.17631,13
441.15539,7
451.1396,44
452.1479,73
453.151,7
453.15558,16
453.19161,9
454.16376,7
455.17129,10
465.15574,24
466.16308,57
467.17131,176
468.1744,28
469.16868,10
481.18663,130
482.19003,18
482.19442,58
483.16635,26
483.18398,6
483.19783,7
497.18156,10
498.18928,10
513.21326,31
514.34343,7
526.18388,24
536.43702,69
537.44089,22
540.19992,14
541.20766,67
552.43139,7
555.22381,83
556.22723,12
559.21861,18
566.41128,61
567.41475,20
571.21902,7
582.40649,97
583.40934,20
599.21327,12
613.22842,6
614.23705,282
615.24003,85
616.23368,23
616.24184,12
658.42187,142
659.4256,52
766.04729,6
766.07243,6
766.08751,6
766.11391,9
766.13277,12
766.14282,11
766.15414,13
766.17048,14
766.17803,15
766.18808,12
766.19437,14
766.20317,13
766.21072,18
766.22203,27
766.24466,11
766.25598,15
766.27233,15
766.28616,8
766.29999,6
791.46881,34
792.47298,16
793.48437,10
892.53329,313
893.53635,191
894.53951,42
895.53483,6
