"m.z","int"
102.12802,12
103.0545,16
104.10728,116
105.00352,26
105.07014,44
107.08576,10
109.10142,24
109.91693,27
110.07148,25
111.11701,12
112.89592,149
114.09156,7
114.89291,38
114.89401,20
115.05436,178
117.03976,25
117.0574,9
117.07002,34
118.03221,6
118.06521,9
119.01902,795
119.08563,69
119.92493,55
120.01981,82
120.08087,91
120.97244,31
121.01655,86
121.03462,11
121.10127,16
121.92305,8
123.0139,14
123.11693,8
124.93758,19
125.96104,50
128.06204,131
128.95355,41
129.06987,47
130.0651,324
131.01898,570
131.0855,67
132.01971,34
132.08079,14
132.9872,7
133.01648,38
133.03458,119
133.1011,69
134.03535,6
134.99891,174
135.00281,735
135.05016,319
135.11671,10
135.99959,22
136.00617,11
136.02159,13
136.05094,17
136.07559,14
136.94975,7
136.99632,34
137.0005,13
137.02941,1299
137.04063,38
137.04767,28
138.0302,136
138.0327,6
138.05491,14
138.93834,16
139.02692,176
140.95914,23
141.05712,11
141.06983,61
142.03488,6
142.06509,14
142.07764,21
142.93851,13
142.94803,474
142.96668,12
143.07294,11
143.08552,39
143.15424,7
144.00321,6
144.08069,33
144.92738,23
145.03449,140
145.04578,11
145.06473,6
145.1011,71
145.96747,7
146.01882,80
146.0297,12
146.03535,10
147.01373,9
147.05008,84
147.11671,27
148.04532,33
148.92563,66
148.93511,196
148.96723,6
149.02329,174
149.02944,703
149.0659,36
149.13249,8
149.98594,51
150.03027,44
150.03724,201
150.0611,19
150.97675,39
151.02702,88
151.03802,9
151.04507,182
151.09537,69
151.11167,22
151.98341,8
152.02774,11
152.03485,13
152.06197,16
153.00937,973
153.04258,7
153.06986,18
154.01017,226
154.06502,32
155.00686,254
155.08537,34
155.10415,57
156.00771,12
156.0143,10
156.08074,35
156.09335,19
156.97468,19
157.0345,12
157.08351,318
157.10114,41
158.09633,7
158.15397,12
158.92199,40
158.94064,6
159.05022,172
159.0614,9
159.09161,13
159.11671,47
160.04541,44
160.05094,8
160.90129,20
160.93288,10
160.96471,34
161.01848,20
161.02938,38
161.04065,7
161.06573,13
161.09603,11
161.1324,17
162.98279,24
162.99364,51
163.0451,194
163.0704,6
163.11152,6
163.14796,6
164.04033,9
164.04581,11
164.89937,6
164.90904,85
164.91871,8
164.92046,663
164.92812,8
164.93001,867
164.9913,10
165.0608,272
165.06344,15
165.06985,36
165.07199,29
165.08859,40
166.06151,16
166.06506,12
166.9163,13
166.95069,57
167.008,9
167.03999,229
167.05829,13
167.07289,12
167.08543,17
167.99641,19
168.0407,8
168.08061,27
168.09327,7
168.95418,34
168.96368,33
169.03766,68
169.04704,7
169.10113,31
169.1199,8
169.12212,26
170.09638,12
170.109,6
170.97552,27
171.01688,59
171.05016,27
171.09911,244
171.11676,40
171.98819,7
172.90712,38
173.02958,20
173.06588,20
173.07843,12
173.13244,34
173.93036,109
174.0373,7
174.03866,13
174.89592,151
174.90524,6
174.97561,6
174.98522,202
175.03408,9
175.04506,77
175.08145,62
175.11167,14
175.14808,15
176.04028,6
176.0767,7
176.89397,12
176.98271,15
176.99234,17
177.00938,220
177.02432,12
177.05448,14
177.06076,240
177.06342,11
177.08856,50
177.09709,236
177.16375,8
178.01015,32
178.06155,8
178.06493,6
178.0979,10
178.93086,14
178.94562,12
179.00694,37
179.04003,25
179.05111,8
179.05821,13
179.06545,38
179.06773,8
179.07639,132
179.08548,15
179.09458,7
179.10424,47
179.91695,46
180.08059,25
180.13576,24
180.87328,13
180.8828,34
180.89434,164
180.90386,275
181.08343,7
181.08849,7
181.10091,14
182.09643,26
182.89251,6
182.96981,21
182.97935,21
