"m.z","int"
104.10699,40
105.0033,98
106.00408,7
106.90454,21
108.90417,13
112.89563,24
114.09113,6
115.05408,31
120.01949,33
120.08062,11
121.01631,42
121.03438,39
123.01359,129
123.02306,6
124.01445,9
124.93729,33
125.01117,17
128.06177,36
130.04955,13
130.06485,73
131.01864,135
133.00734,8
133.01616,8
133.03426,57
133.10087,6
135.00251,29
135.04985,51
137.04033,72
138.02991,142
138.03241,10
138.04116,6
138.05452,17
139.0178,21
139.02664,176
139.02898,9
141.06947,7
144.95197,7
145.03416,9
147.04976,7
147.07609,14
147.93059,6
148.93469,8
150.02997,27
151.02673,34
151.04477,153
151.07262,11
152.02734,13
152.04545,8
152.06168,9
153.00909,61
153.02401,10
153.04231,12
154.00978,14
155.0066,17
155.085,6
156.97431,6
157.08315,255
158.92164,241
158.94255,7
159.04975,19
160.04507,26
160.91971,8
161.02905,12
161.04031,10
162.99332,10
163.04466,70
164.92003,7
165.03523,40
165.06037,62
165.06955,22
165.08828,19
166.01454,10
166.05551,7
167.03957,252
167.06748,6
168.04042,17
168.08033,7
169.0284,9
169.03726,55
169.05797,16
170.97513,6
171.0259,7
171.09872,14
173.057,6
174.89556,127
174.96757,9
175.0447,36
176.89363,12
177.00903,21
177.02397,16
177.06028,70
177.08822,26
178.05558,15
179.02223,11
179.03956,19
179.04907,6
179.05078,55
179.0674,7
179.07592,71
179.10377,11
179.91663,10
180.89402,12
181.02824,9
181.08298,8
184.07285,77
184.9814,11
185.11436,8
187.0447,8
187.05577,6
189.06024,23
190.06813,7
190.0919,6
191.02226,7
191.03964,56
191.07596,28
193.02834,6
193.03788,12
193.05521,20
193.0832,7
193.09164,75
194.08693,141
195.09882,6
196.08446,11
196.86797,6
196.87747,25
197.03232,13
198.97375,8
198.99671,8
199.04465,46
199.99598,6
200.97981,14
201.06024,11
203.07589,45
203.91122,6
204.07116,13
205.05514,11
205.06645,9
205.09152,7
206.05046,9
207.01384,8
207.05339,8
207.07088,39
207.07777,8
207.09862,6
207.10728,11
208.10247,8
209.06129,21
209.06918,15
210.90611,8
214.9475,8
215.96989,9
216.95392,11
217.09171,71
218.08686,12
219.0708,7
219.10714,11
220.87728,13
220.90394,11
221.05019,37
221.12289,21
224.10397,9
226.08339,7
227.90893,6
228.90082,6
228.97783,7
229.09167,11
231.10727,13
233.0692,7
233.0865,8
235.1385,29
238.88779,17
239.08842,6
242.07684,6
242.85665,8
