"m.z","int"
100.07613,25
101.06012,113
102.04689,12
102.09176,46
102.1281,1237
103.02438,14
103.05458,96
103.13147,66
104.1073,172
104.95246,98
105.0036,44
105.03384,122
105.07023,454
105.99274,12
106.06555,40
106.07358,25
106.98909,83
107.04947,88
107.07331,12
107.08585,653
107.95067,55
108.08117,153
108.08924,32
109.06511,250
109.07639,58
109.10151,1595
109.91702,1345
110.06035,15
110.07158,48
110.10486,95
110.92487,11
111.04437,414
111.08073,331
111.09205,39
111.11711,9979
111.91513,182
112.05086,19
112.08406,16
112.12043,799
112.89602,3197
113.05997,57
113.0964,51
114.09159,500
114.89309,994
114.89404,436
115.05454,520
115.07561,76
115.095,21
116.05788,12
116.0624,30
116.07085,12
116.10726,32
116.89116,125
116.93283,135
116.98607,18
117.03987,82
117.05751,45
117.07013,167
118.03232,885
118.0654,76
119.01913,1191
119.03576,19
119.08574,467
119.92504,149
119.92987,51
120.01985,99
120.02811,15
120.08098,572
120.08917,22
120.92627,309
121.01666,136
121.02756,11
121.02866,1785
121.03466,34
121.06506,73
121.08433,21
121.10139,356
121.92317,21
121.96652,14
122.03202,99
122.06024,30
122.09662,403
122.10478,19
122.92437,22
122.96291,112
123.01402,17
123.04427,29
123.05552,18
123.08069,139
123.09186,44
123.09996,17
123.11705,667
124.12039,26
124.96428,28
125.05982,47
125.09631,439
125.96108,244
126.09151,16
126.09956,18
127.07552,96
127.11188,751
127.963,11
128.04963,13
128.06217,318
128.1072,39
128.11528,42
128.95368,249
129.05235,33
129.05479,347
129.06557,11
129.07,131
129.09113,99
129.10234,31
129.12757,1841
130.04994,303
130.06524,1923
130.07781,11
130.08634,68
130.09769,17
130.13086,127
130.1592,24
131.01902,1220
131.04926,14
131.06865,124
131.07301,13
131.08564,236
132.01976,92
132.02236,11
132.02677,80
132.08093,67
132.90656,57
132.98725,13
133.00771,48
133.01653,106
133.03463,256
133.06502,77
133.10125,622
134.01728,19
134.09651,27
134.10461,38
134.99645,39
134.99896,72
135.00296,1075
135.03216,13
135.04416,36
135.04751,311
135.0503,470
135.08055,159
135.11695,354
136.02165,1177
136.04544,13
136.0509,28
136.06191,104
136.07574,143
136.11216,271
136.12026,25
136.99647,11
137.02499,49
137.02946,1382
137.03888,30
137.04078,56
137.04782,27
137.0598,56
137.09624,180
137.10738,40
137.1326,159
137.94031,33
138.01737,25
138.03025,140
138.03285,15
138.05496,15
138.0995,12
138.93665,234
138.94344,14
138.95772,23
139.02708,200
139.0542,16
139.07549,71
139.11186,746
139.91477,20
140.004,11
140.11514,55
140.9348,34
140.93807,12
140.9591,818
140.97151,268
141.05728,15
141.06989,134
141.08857,29
141.09105,197
141.10228,12
141.12742,57
141.9588,14
142.06525,26
142.0778,74
142.09446,15
142.12279,12
142.9481,245
142.956,12
143.073,34
143.08558,55
143.10679,370
143.93691,28
144.08086,300
144.09337,12
144.13839,18
144.92755,457
144.94472,13
145.03456,172
145.04584,22
145.0649,43
145.08427,13
145.10126,208
145.1224,21
146.01888,16
146.02987,22
146.0601,66
146.09653,31
146.92559,20
147.04413,16
147.05026,500
147.06527,134
147.07648,201
147.08049,80
147.11286,78
147.11688,188
148.00428,14
148.02168,13
148.04549,50
148.05104,29
148.07582,34
148.11215,50
148.88056,53
148.92247,14
148.93518,39
149.02347,21766
149.02951,1340
149.04784,39
149.05982,62
149.06597,51
149.09618,109
149.13256,353
149.98601,52
150.02685,1821
150.03034,134
150.03295,21
150.03731,1084
150.06117,12
150.09147,24
150.12789,174
150.13585,22
150.97693,549
151.02709,163
151.03017,31
151.03809,96
151.04514,270
151.04789,33
151.07298,86
151.07552,80
151.09544,102
151.11185,733
151.12308,13
151.1482,125
151.90797,22
152.02781,103
152.03492,128
152.04592,17
152.05682,40
152.06204,53
152.11519,45
152.90683,27
152.975,14
153.00708,16
153.00944,350
153.0164,51
153.04266,22
153.0522,21
153.06994,41
153.08869,40
153.09116,293
153.12743,754
153.90809,49
154.01024,60
154.0651,63
154.07768,14
154.13087,49
154.90745,392
154.93157,72
155.00705,73
155.01037,18
155.06793,34
155.07045,20
155.07297,13
155.08556,54
155.10434,517
155.10675,320
155.14317,64
155.1544,19
156.08094,1120
156.09342,36
156.10776,20
156.11007,13
156.88548,24
156.90331,23
156.91216,41
156.93314,768
156.94561,225
156.95412,72
156.97475,49
157.0347,32
157.08359,1984
157.08593,12
157.10133,75
157.12247,287
157.93273,25
158.08698,88
158.09653,106
158.15405,1702
158.92207,134
158.92991,14
158.93122,36
158.94369,11
159.0503,245
159.0616,17
159.08063,46
159.09169,64
159.11692,120
159.15738,107
159.91079,13
159.9434,11
160.0455,85
160.07575,13
160.9015,372
160.91868,17
160.92546,17
160.93962,48
160.99943,62
161.01868,39
161.02947,67
161.04085,18
161.05976,29
161.06594,35
161.09369,24
161.09623,530
161.13261,193
162.03733,20
162.06106,15
162.09139,15
162.09959,45
162.12786,41
162.13606,12
162.89952,24
162.94119,636
162.99385,18
163.02778,138
163.03901,352
163.04518,299
163.05419,14
163.07308,45
163.07543,247
163.11185,93
163.13297,154
163.14817,260
164.0403,19
164.04242,15
164.0459,19
164.05288,21
164.07892,23
164.1072,19
164.1436,168
164.15171,14
164.89658,17
164.89971,15
164.90913,117
164.92055,561
164.9301,512
164.93525,66
165.0071,18
165.04279,14
165.05234,16
165.06089,2066
165.06341,19
165.06994,74
165.07208,27
165.08868,461
165.09119,59
165.12754,148
165.13874,26
165.1639,47
166.01493,23
166.05615,22
166.0616,190
166.06427,41
166.06515,19
166.08647,11
166.09218,13
166.89504,17
166.91639,13
166.94912,11
166.95091,850
166.99555,15
167.03394,53
167.04008,387
167.05557,22
167.05839,197
167.06799,42
