"m.z","int"
102.97439,18
104.10707,25
104.99247,45
112.98505,19
120.97223,45
121.03456,124
124.00898,12
124.01454,77
125.01126,83
128.95336,11
131.01871,19
132.10176,74
133.03432,16
137.04048,47
138.90626,21
138.9381,12
139.02678,163
140.90327,15
142.96655,17
148.93491,20
149.02935,94
151.04487,82
151.09518,11
153.00918,204
155.00668,30
160.93273,22
160.96457,25
162.92962,12
162.95058,13
162.98253,15
164.92034,56
165.06055,34
167.96171,16
168.04059,27
169.03742,67
175.91967,13
177.00917,20
178.89875,19
178.93053,17
180.89574,15
185.92791,18
191.07621,20
192.96136,23
193.09188,68
199.04505,12
203.894,14
206.8935,14
217.0917,16
218.92324,14
235.13884,12
236.88895,11
238.85442,11
243.08352,14
279.15873,46
281.08652,19
289.14918,14
337.14887,59
766.52496,11
766.5627,30
766.57403,19
766.58283,27
766.60171,22
766.61681,17
766.62687,21
766.63317,22
766.64575,21
766.65582,32
766.67218,13
766.67973,21
766.69483,14
766.70742,13
791.46856,27
