"m.z","int"
100.07604,12
100.95893,12
101.06003,28
102.09169,9
102.12802,41
102.97442,6
103.02431,11
103.95595,62
104.10723,57
104.95234,414
104.99257,80
105.03869,22
105.99261,158
106.00432,13
106.95047,15
106.9889,726
107.00104,21
107.0858,14
109.065,8
109.10133,20
109.91691,507
110.05771,6
110.07147,10
110.95213,6
111.08063,6
111.117,6
111.91496,63
112.89592,91
112.94928,7
112.98522,704
113.05995,7
113.98602,68
114.04391,13
114.06015,13
114.09157,61
114.893,23
114.89402,10
114.98227,208
115.07552,13
115.98304,18
116.93267,39
116.97984,38
117.06547,23
118.03232,12
118.03506,23
118.08099,8
119.00798,10
119.92972,42
120.0197,11
120.08076,12
120.92613,229
120.97234,7
121.01652,8
121.03468,172
121.96638,200
122.02118,8
122.03548,10
122.0577,31
122.09649,14
122.92415,20
122.92464,18
122.96157,12
122.9627,956
122.98372,16
123.02327,14
123.03225,16
123.0418,61
123.06534,7
123.96449,13
124.01466,51
124.96076,57
124.96416,145
125.01146,70
125.09619,14
125.99206,14
127.08611,27
127.11185,10
128.95357,12
128.9626,17
128.97068,36
129.09102,18
130.06513,9
131.01893,22
131.02639,10
131.95323,12
132.05312,9
132.1018,31
132.98716,7
133.00744,8
133.03454,36
133.10116,9
133.93529,39
134.9221,7
134.97378,6
135.04166,12
135.07488,8
136.02166,10
136.05092,39
136.05364,6
136.94014,46
137.0388,127
137.04061,34
137.04765,39
137.94005,187
137.96118,10
138.03268,13
138.03403,13
138.08865,9
138.9064,54
138.93649,1000
138.94338,9
138.95746,47
139.01808,216
139.02692,155
139.02925,17
139.07299,19
139.1117,19
139.93817,20
140.00394,18
140.01396,7
140.90341,35
140.93455,114
140.93792,320
140.97135,74
141.05206,9
141.08841,16
141.9376,7
142.9362,13
142.95585,10
143.10665,26
143.93667,8
143.94824,12
144.04187,7
144.92741,60
144.94458,82
144.96559,9
145.03442,6
145.09646,10
145.10102,6
146.08624,7
147.05013,9
148.92235,13
148.96114,8
148.97688,8
148.9993,14
149.02335,117
149.02939,107
149.05733,21
149.06596,13
149.09369,36
149.90915,12
150.02674,12
150.03012,7
150.05245,6
150.08885,15
150.90657,15
151.01807,59
151.02698,8
151.04503,81
151.09533,21
151.11174,24
151.90787,46
152.04715,11
152.07617,7
152.1281,17
152.93307,12
152.97501,14
153.00934,83
153.01641,20
153.02415,6
153.03369,10
153.05221,59
153.08847,15
153.12733,11
153.90788,94
153.93516,16
154.92999,7
154.93147,38
154.9978,9
155.00684,23
155.10414,25
155.10654,13
156.08085,21
156.91196,175
156.93294,644
156.94541,181
156.95404,48
156.96639,8
156.98668,251
157.0471,7
157.12227,18
157.93254,25
158.15386,17
158.9087,7
158.91,23
158.92972,16
158.93103,43
158.98984,11
159.05023,12
159.08769,11
160.90131,24
160.93943,47
160.99924,16
161.01838,13
161.05715,7
161.09363,37
161.09605,10
162.91648,10
162.94089,101
162.99368,7
163.07291,42
163.13292,8
164.89628,9
164.92051,96
164.95391,8
164.98431,8
165.0244,16
165.03382,11
165.05217,23
165.06072,51
165.89373,17
166.09189,23
166.89488,44
166.9487,8
166.95075,132
167.01292,7
167.04683,8
167.06783,46
167.10419,37
167.143,8
167.89377,75
168.04077,31
168.89503,116
168.94878,14
168.97091,8
169.02861,36
169.0376,46
169.04698,20
169.08347,16
169.12232,18
169.96554,8
170.96182,14
170.97561,19
