"m.z","int"
107.08569,10
112.98518,23
114.09145,9
121.03463,177
122.03527,6
123.02322,8
123.03212,17
124.01461,44
125.00246,6
125.01132,61
130.06499,6
131.01878,10
131.95309,8
133.0344,12
133.1011,7
136.02151,7
136.05086,14
137.03875,61
137.04056,17
137.04759,9
138.03272,9
138.03397,13
139.01802,153
139.02686,142
139.0292,12
145.03436,8
149.02944,133
150.03016,7
151.01801,68
151.04497,74
152.12793,6
153.00928,166
153.03352,6
154.99797,6
155.00678,27
156.98662,132
162.99361,16
164.92032,7
165.02433,12
165.06066,26
167.01298,6
167.99641,6
168.0407,38
168.04315,8
169.02855,56
169.0374,73
169.12199,13
170.9754,8
171.02618,7
173.00856,8
174.9972,86
175.04497,11
177.00929,29
178.96854,23
179.04933,20
179.07618,11
181.02849,18
184.0731,9
184.98165,19
188.98606,12
189.06063,7
191.03987,14
191.07619,22
193.02857,13
193.06498,6
193.09202,83
195.08063,26
198.99726,26
199.04503,17
203.07626,19
205.09207,7
207.07107,33
209.05969,7
215.02822,6
216.96583,69
217.09187,20
219.1073,6
220.97925,6
221.05035,9
223.0391,8
223.09618,10
227.1128,8
229.00774,9
230.95459,11
232.9877,11
233.12312,6
233.18981,17
234.97624,38
235.13882,9
247.10253,10
249.09114,6
249.15454,8
256.95812,32
258.97618,9
262.97124,10
274.95626,12
276.94496,100
279.1587,33
281.08677,6
288.98686,9
290.93367,10
298.92682,21
304.93984,11
307.22618,20
313.22168,9
318.95529,14
325.20073,31
336.92399,44
348.96561,8
376.91626,7
414.91372,31
436.8955,6
437.16035,6
451.13982,23
452.14755,30
453.15523,10
456.88211,6
465.15536,10
466.1633,19
467.17092,75
468.17401,10
469.16829,6
481.18684,53
482.1896,8
482.19463,16
492.90287,6
513.21274,7
514.88549,7
526.18404,13
536.43717,6
540.19932,7
541.20705,19
552.88286,8
555.22316,33
556.22658,10
566.41059,13
567.41406,6
582.40492,7
614.2362,127
615.23917,47
616.23372,8
658.42185,44
659.42558,18
741.44068,16
741.45384,9
766.80558,6
766.81313,6
766.83705,11
766.84461,19
766.85594,9
766.86727,10
766.87482,11
766.88615,16
766.9,16
766.91637,11
766.92518,12
766.94533,20
766.96296,21
766.97681,15
766.99192,20
767.01333,11
767.02592,8
767.04229,8
892.53282,119
893.53587,48
894.53744,12
