"m.z","int"
117,41
118,12
121,11
124,19
125,17
126,19
128,44
131,35
132,15
135,11
136,62
137,25
142,43
146,37
150,30
152,24
153,22
154,33
155,76
156,131
160,41
161,17
166,13
168,16
169,69
170,89
171,17
172,47
173,169
174,35
177,14
178,18
180,71
182,21
183,11
184,78
185,39
186,142
188,47
192,14
195,51
196,35
198,48
199,67
200,44
202,12
205,12
206,11
210,18
212,54
213,22
214,37
215,60
217,26
220,11
221,30
224,57
226,54
228,42
233,100
234,12
235,23
240,14
242,17
243,69
244,57
248,41
249,14
250,25
251,21
252,148
254,304
255,60
256,13
260,14
265,12
268,49
270,110
272,44
274,18
275,33
277,18
279,29
282,23
285,14
288,29
290,12
295,26
298,15
300,15
302,442
303,66
310,23
311,17
316,30
318,58
334,16
340,11
363,23
410,18
482,115
484,367
485,76
486,12
488,16
500,26
520,33
521,12
522,48
524,42
526,26
528,67
542,17
556,32
592,27
771,162
772,100
