"m.z","int"
118,69
122,18
123,35
125,47
130,131
132,24
134,12
136,28
138,35
139,17
140,40
143,21
144,17
145,11
146,21
150,18
153,30
154,43
155,31
157,91
158,39
160,30
161,17
165,23
167,13
172,88
173,27
181,36
190,24
191,15
193,52
201,15
202,137
204,19
209,14
210,35
226,42
232,13
236,20
238,95
239,23
242,25
245,16
248,18
256,47
268,45
272,42
284,50
286,13
292,18
300,58
302,57
335,19
338,31
348,30
361,26
363,136
364,105
366,279
367,42
368,80
374,55
376,188
377,11
390,48
392,22
418,104
420,354
421,27
482,18
484,28
528,224
529,39
554,13
556,118
557,17
558,40
584,21
586,46
592,17
694,12
748,17
766,97
767,29
928,11
