"m.z","int"
103,8
108,7
112,56
114,12
117,244
118,13
122,7
123,15
124,8
126,45
127,36
128,113
131,179
132,70
134,14
136,117
137,10
138,17
140,19
142,214
145,13
146,136
150,44
151,38
152,16
153,39
154,86
156,240
159,26
160,154
163,20
164,65
165,19
166,27
167,30
168,31
169,7
170,211
172,70
173,24
174,101
178,78
180,134
182,37
184,104
186,103
188,70
192,35
194,22
195,23
196,31
198,88
199,6
200,118
202,58
206,615
207,38
208,15
210,90
212,266
213,11
214,85
215,129
216,14
219,24
220,30
224,212
225,6
226,126
228,41
230,43
232,23
234,7
235,87
237,10
238,9
240,123
242,45
243,129
248,90
250,8
251,137
252,45
254,161
256,37
258,11
265,13
268,25
269,30
270,27
271,42
277,7
282,25
284,12
285,28
286,7
287,12
298,172
299,12
300,28
302,51
316,16
327,11
329,7
331,55
367,10
369,19
372,90
373,9
403,15
405,27
553,6
659,24
660,7
720,11
738,26
739,6
751,9
754,11
762,49
763,14
764,92
765,19
766,104
767,33
768,52
769,13
770,213
786,33
787,7
790,8
792,27
801,82
802,42
804,140
805,38
806,29
814,15
858,19
859,8
