"m.z","int"
102,204
108,9
109,10
111,7
112,8
116,6
118,44
122,11
123,19
125,462
126,7
127,10
130,11
132,19
135,17
136,9
138,18
140,7
143,16
144,12
146,14
147,52
152,6
153,55
155,173
157,40
158,9
160,11
165,29
167,6
168,190
172,49
173,8
174,12
176,112
179,10
181,8
183,25
184,6
187,68
189,93
190,7
191,43
193,25
205,62
207,35
209,502
211,10
212,20
213,7
215,32
216,23
225,13
226,38
227,30
229,7
230,8
231,18
239,8
243,41
245,44
246,12
247,11
250,20
251,12
255,8
265,6
267,47
269,23
271,6
272,7
280,13
284,28
285,6
288,8
289,11
299,20
300,19
302,67
303,6
304,8
306,11
307,6
308,6
309,9
314,240
315,224
316,6
321,7
322,565
323,1766
324,165
325,20
327,15
328,215
329,18
332,6
335,52
336,1481
337,506
338,28
343,41
344,14
346,6
357,18
359,10
364,33
377,7
379,12
387,7
401,6
402,6
413,6
435,8
437,12
443,6
471,8
480,9
539,6
548,8
560,6
593,6
649,6
668,15
683,7
710,9
720,19
738,116
739,46
753,15
756,7
764,63
765,27
766,57
767,224
768,6
786,42
787,8
792,85
793,19
804,50
805,16
806,97
807,22
808,14
809,8
827,6
851,6
893,29
902,6
919,8
920,8
939,8
940,11
973,14
994,7
999,24
