"m.z","int"
103,20
105,30
106,36
107,20
108,60
109,19
110,7
111,351
112,67
113,226
114,144
115,260
116,123
117,168
118,1241
119,550
120,286
121,344
122,64
123,126
124,69
125,1049
126,206
127,337
128,196
129,103
130,146
131,140
132,112
133,490
134,320
135,209
136,837
137,713
138,404
139,443
140,457
141,242
142,342
143,901
144,168
145,433
146,519
147,508
148,80
149,206
150,577
151,265
152,429
153,305
154,333
155,1647
156,437
157,411
158,174
159,270
160,257
161,128
162,459
163,108
164,326
165,196
166,193
167,191
168,91
169,85
170,208
171,291
172,181
173,357
174,183
175,106
176,186
177,341
178,153
179,231
180,159
181,96
182,56
183,210
184,150
185,79
186,197
187,45
188,109
189,36
190,79
191,119
192,178
193,89
194,96
195,289
196,138
197,128
198,202
199,191
200,170
201,136
202,194
203,65
204,153
205,40
206,277
207,205
208,36
209,220
210,118
211,125
212,270
213,323
214,188
215,317
216,126
217,174
218,126
219,124
220,304
221,42
222,94
223,97
224,184
225,65
226,404
227,106
228,60
229,147
230,69
231,155
232,63
233,323
234,147
235,266
236,132
237,57
238,135
239,70
240,129
241,89
242,98
243,216
244,107
245,66
246,29
247,47
248,156
249,51
250,85
251,177
252,159
253,68
254,830
255,143
256,98
257,96
258,42
259,108
260,136
261,81
262,39
263,22
264,50
265,57
266,42
267,56
268,63
269,67
270,62
271,98
272,22
273,34
274,34
275,113
276,30
277,101
278,82
279,44
280,31
281,53
282,41
283,100
284,179
285,53
286,15
287,20
288,27
291,19
292,8
293,124
294,47
295,78
296,22
297,31
298,66
299,35
300,136
301,16
302,203
303,48
304,10
305,18
306,13
309,7
310,6
311,34
312,7
313,7
314,16
315,29
316,20
318,25
319,14
320,18
321,6
322,34
323,28
324,14
325,15
326,11
327,6
330,7
331,19
333,11
334,26
335,6
338,8
339,48
340,10
341,20
342,28
343,8
346,12
348,9
349,18
350,17
351,26
352,7
353,19
354,6
355,75
356,85
357,14
358,20
363,65
364,109
365,6
369,23
371,91
372,49
373,17
377,8
381,8
383,13
393,12
395,6
397,15
398,6
399,15
411,7
413,13
414,32
415,34
417,6
429,6
431,21
460,6
461,11
471,7
477,18
478,11
480,6
482,32
484,92
485,19
493,10
503,9
509,12
519,11
520,10
528,35
529,6
535,8
551,6
556,30
613,6
692,7
720,15
721,8
736,19
738,81
739,35
750,7
751,6
754,8
756,6
762,11
763,8
764,93
765,30
766,54
767,23
768,50
769,12
772,315
786,6
792,66
793,14
801,32
802,10
804,185
805,59
806,45
807,7
808,8
812,15
840,56
841,15
863,9
945,6
