"m.z","int"
102,15
103,18
110,20
112,66
114,12
117,36
118,79
120,40
121,19
122,42
123,90
124,14
125,41
127,26
129,67
130,179
131,13
132,108
133,55
135,84
137,96
138,46
139,74
140,99
141,38
142,59
143,60
144,20
145,50
146,122
147,547
148,63
149,37
151,12
152,47
153,815
154,16
155,1604
156,4336
157,522
158,196
159,161
160,145
161,180
162,60
163,178
165,102
166,13
167,59
168,343
169,94
171,21
172,584
173,67
174,22
176,709
177,40
178,14
179,151
181,50
184,78
186,12
187,67
189,81
190,111
191,15
192,235
193,89
194,21
199,89
201,36
202,23
203,37
204,98
205,220
206,22
207,56
209,1258
210,57
211,70
212,302
213,323
214,111
215,100
216,260
218,60
225,20
226,247
227,1433
228,117
229,371
230,45
231,299
234,18
235,14
236,14
238,44
239,28
240,42
241,44
242,135
243,108
244,47
245,156
246,636
247,48
248,28
249,37
250,146
251,82
252,22
253,108
254,72
255,80
256,126
257,16
258,83
259,50
260,12
261,29
263,42
265,67
266,11
267,186
268,69
269,121
270,32
271,246
272,85
273,163
274,116
276,30
277,30
278,33
280,53
281,12
283,17
284,308
286,126
289,63
290,120
291,25
292,59
293,12
298,21
299,195
300,267
302,14735
303,2940
304,462
305,15
307,64
308,28
309,57
310,11
311,34
312,235
313,63
314,15
315,14
316,52
317,12
318,350
319,30
320,57
321,115
322,60
323,11
324,47
325,130
326,23
327,58
328,126
329,170
330,231
331,182
332,33
333,14
334,83
335,24
336,15
338,2291
339,393
340,699
341,150
345,39
347,40
348,389
349,29
350,82
351,18
352,16
354,46
355,242
356,738
357,197
358,13
359,57
360,359
361,57
362,171
363,378
364,948
365,114
366,156
367,62
369,153
370,206
371,15
372,22
377,102
378,428
379,164
380,73
381,36
383,72
385,46
387,69
388,87
389,56
390,36
391,11
392,267
393,40
396,317
397,51
398,221
399,16
400,75
401,68
403,46
405,17
406,16
408,62
409,16
410,41
412,28
413,110
414,17
417,78
418,21
419,28
420,27
425,55
427,18
428,26
429,45
430,11
431,20
435,137
437,151
438,37
439,24
440,21
441,43
443,55
445,41
447,22
449,17
451,11
453,23
456,262
457,25
459,32
461,20
463,22
467,14
470,19
471,54
473,11
475,55
476,12
478,160
479,64
480,60
481,12
482,1782
483,393
484,2306
485,483
486,43
487,37
493,84
497,55
499,32
500,385
501,120
502,11
503,176
504,11
505,32
506,13
509,42
511,12
515,16
516,27
517,46
518,23
519,43
520,1087
521,269
522,697
523,151
524,327
525,225
526,304
527,192
528,2252
529,579
530,146
531,166
532,17
533,63
534,15
535,17
536,15
540,296
541,22
542,158
543,53
544,33
545,24
546,17
550,23
551,19
552,64
553,112
554,319
555,105
556,1387
557,344
558,55
559,11
561,28
562,11
563,26
564,15
565,12
569,34
573,12
574,112
577,415
578,128
579,158
580,26
581,45
583,91
585,14
586,107
588,15
589,54
590,29
591,55
592,14
598,20
599,18
602,19
603,27
604,186
605,71
611,28
613,12
614,64
615,21
616,12
618,35
621,70
622,21
625,20
631,12
635,18
639,13
644,12
647,26
649,13
659,12
661,16
675,32
679,28
685,32
686,33
688,42
692,77
693,15
694,12
697,11
699,12
701,11
702,88
703,21
704,17
705,32
707,20
709,13
714,11
718,13
720,303
721,91
727,13
733,12
734,25
735,12
736,280
737,99
738,894
739,324
740,80
741,16
750,22
751,12
757,12
758,24
759,14
760,19
761,28
762,174
763,39
764,584
765,229
766,695
767,391
768,175
769,17
777,11
779,12
782,19
784,450
785,208
786,38
790,24
791,43
792,347
793,130
794,16
795,15
796,27
797,40
799,135
801,59
802,12
803,32
804,856
805,386
806,491
807,227
808,176
809,82
810,52
811,46
812,160
813,71
815,15
817,23
819,34
821,37
823,27
824,25
832,67
840,329
841,159
842,28
847,13
858,33
861,17
863,12
864,45
877,31
894,27
900,11
904,28
908,14
910,33
918,11
922,11
924,13
928,21
956,12
958,12
963,12
972,24
983,20
990,12
