"m.z","int"
103,156
107,35
108,430
109,699
110,94
111,834
112,846
113,290
114,232
115,130
116,333
117,393
118,452
119,37635
120,633
121,1763
122,107
123,360
124,127
125,177
126,602
127,22270
128,1465
129,1211
130,9607
131,526
132,10887
133,35794
134,3147
135,8175
136,1332
137,4073
138,545
139,932
140,503
141,232
142,1016
143,1270
144,252
145,9275
146,12356
147,19744
148,574
149,3706
150,895
151,1297
152,617
153,21499
154,1063
155,56375
156,44603
157,15115
158,1288
159,1410
160,878
161,610
162,801
163,493
164,293
165,562
166,280
167,255
168,6266
169,2331
170,1072
171,6389
172,525
173,4156
174,3156
175,1318
176,5112
177,16344
178,679
179,5324
180,700
181,928
182,1087
183,6724
184,1661
185,4564
186,1503
187,1095
188,667
189,472
190,544
191,209
192,12457
193,2298
194,471
195,1134
196,496
197,616
198,680
199,1423
200,979
201,386
202,637
203,192
204,1894
205,2328
206,4233
207,1257
208,309
209,8050
210,1086
211,4642
212,4195
213,10684
214,2555
215,6100
216,2447
217,1261
218,621
219,582
220,634
221,823
222,163
223,290
224,517
225,1137
226,4242
227,10389
228,1399
229,5759
230,1228
231,8453
232,464
233,3916
234,300
235,13421
236,264
237,7996
238,272
239,3777
240,911
241,1256
242,1365
243,1919
244,482
245,2106
246,6880
247,3973
248,1795
249,3132
250,1614
251,3785
252,1375
253,1524
254,18632
255,2696
256,247
257,656
258,408
259,975
260,322
261,1890
262,146
263,1948
264,200
265,1467
266,581
267,11605
268,429
269,16543
270,1124
271,21069
272,1972
273,9461
274,1381
275,1936
276,381
277,1593
278,134
279,589
280,358
281,543
282,256
283,1658
284,575
285,2585
286,567
287,4908
288,639
289,10166
290,224
291,2429
292,144
293,6900
294,88
295,5884
296,47
297,2792
298,435
299,1382
300,550
301,805
302,36667
303,9056
304,2820
305,3351
306,287
307,3297
308,249
309,2077
310,332
311,1352
312,280
313,663
314,189
315,505
316,264
317,375
318,2179
319,2871
320,566
321,1564
322,216
323,1126
324,135
325,3056
326,896
327,4702
328,790
329,9193
330,935
331,7264
332,795
333,3043
334,754
335,820
336,305
337,372
338,3653
339,724
340,978
341,909
342,194
343,987
344,314
345,2181
346,209
347,1924
348,974
349,1012
350,205
351,3592
352,140
353,4827
354,233
355,4374
356,2963
357,1484
358,81
359,728
360,1064
361,1066
362,845
363,1965
364,4222
365,1487
366,361
367,1512
368,132
369,1693
370,2353
371,1320
372,372
373,198
374,114
375,126
376,147
377,1764
378,5040
379,1436
380,946
381,784
382,197
383,1584
384,20
385,2261
386,336
387,3729
388,775
389,3994
390,638
391,1877
392,482
393,899
394,34
395,156
396,447
397,262
398,484
399,389
400,160
401,612
402,133
403,1187
404,64
405,1273
406,104
407,525
408,163
409,1867
410,65
411,2650
412,115
413,2371
414,41
415,1031
416,299
417,423
418,142
419,415
420,58
421,313
422,60
423,355
424,17
425,674
426,31
427,821
428,50
429,552
430,864
431,255
433,20
434,60
435,534
436,66
437,600
438,290
439,445
440,48
441,804
442,62
443,1497
444,698
445,2354
446,82
447,2213
448,111
449,1396
450,121
451,564
452,69
453,185
455,51
456,253
457,135
458,47
459,424
460,54
461,698
462,20
463,628
464,29
465,351
466,17
467,543
468,24
469,1070
470,51
471,1133
472,300
473,732
474,32
475,259
476,69
477,67
478,622
479,253
480,81
481,219
482,3123
483,915
484,5582
485,1490
486,140
487,361
488,49
489,116
490,18
491,16
493,219
495,331
497,216
498,59
499,413
500,921
501,1073
502,18
503,1252
504,33
505,1161
506,29
507,712
508,41
509,337
510,91
511,142
512,66
513,47
514,26
515,76
516,44
517,343
518,94
519,363
520,2633
521,964
522,2028
523,654
524,760
525,532
526,537
527,484
528,4144
529,1326
530,300
531,432
532,25
533,175
534,124
535,129
536,109
537,171
538,54
539,257
540,718
541,406
542,419
543,315
544,84
545,176
546,98
547,138
548,183
549,36
551,72
552,46
553,138
554,378
555,288
556,1539
557,654
558,80
559,735
560,51
561,1085
562,71
563,1146
564,19
565,656
566,43
567,264
569,109
570,24
571,66
573,189
574,880
575,488
576,187
577,876
578,153
579,524
580,60
581,243
582,65
583,256
584,18
585,192
586,158
587,234
588,62
589,177
590,56
591,91
592,16
593,102
595,84
597,63
598,50
599,41
600,94
601,155
602,353
603,199
604,489
605,187
606,41
609,33
610,45
611,89
612,39
613,72
614,70
615,52
616,19
617,142
618,32
619,217
620,20
621,362
622,17
623,245
624,38
625,143
626,39
627,109
628,16
629,17
633,73
635,101
637,88
638,39
639,103
641,35
643,71
644,18
645,107
646,47
647,90
648,25
649,70
650,20
651,25
655,17
657,30
658,36
659,110
661,88
663,50
665,19
666,176
667,28
668,20
669,57
670,19
671,56
673,18
675,44
677,113
678,45
679,143
681,194
682,20
683,85
685,41
686,110
688,91
689,22
690,59
691,36
692,1317
693,506
694,298
695,63
696,16
697,69
698,41
699,52
701,68
702,162
703,37
704,39
705,37
706,37
707,58
708,36
710,19
711,67
713,18
714,20
716,27
717,37
718,398
719,181
720,7183
721,2396
722,316
723,54
726,60
729,18
730,25
731,42
733,35
734,111
735,64
736,3231
737,1222
738,9720
739,3333
740,621
741,137
743,63
745,52
746,21
748,16
752,156
753,39
754,52
755,19
756,35
757,33
758,46
759,78
760,44
761,76
762,286
763,128
764,2098
