"m.z","int"
106,23
116,39
124,13
129,53
131,11
134,14
136,17
138,29
139,19
140,157
142,24
145,11
147,11
152,18
153,13
154,34
155,11
166,51
168,20
170,33
172,12
178,11
179,12
180,11
182,24
184,12
185,40
194,21
196,17
199,54
209,13
223,12
224,15
229,18
230,18
257,12
259,17
263,28
291,11
305,16
306,28
312,12
314,13
318,13
319,22
326,85
328,11
379,11
403,12
411,12
412,24
413,13
422,17
423,15
424,20
425,14
426,25
427,20
428,13
430,14
436,12
437,16
438,38
439,25
440,73
441,38
442,37
443,28
444,12
451,41
452,88
453,154
454,91
455,33
456,47
457,20
458,17
462,24
465,14
466,66
467,131
468,310
469,110
470,63
471,15
480,16
481,26
482,261
483,184
484,141
490,14
498,37
499,21
512,31
514,79
515,20
526,20
527,61
528,17
537,140
538,57
540,25
541,56
542,134
543,40
553,28
555,11
556,151
557,51
558,21
560,58
561,20
567,142
568,41
569,26
570,21
572,47
573,14
582,27
583,78
584,46
599,26
600,42
609,11
614,31
615,721
616,242
617,89
618,19
630,46
631,24
632,13
641,16
642,28
658,28
659,602
660,221
661,26
675,16
682,14
767,245
849,11
871,11
891,22
892,15
893,1304
894,848
895,173
896,78
897,18
908,19
909,85
910,45
911,20
925,12
