"m.z","int"
103,36
105,34
106,14
108,52
112,14
116,45
117,28
118,34
120,333
121,47
122,17
126,261
129,38
130,20
131,139
132,127
133,14
134,86
135,174
136,527
137,68
138,538
139,53
140,36
142,24
143,290
146,114
148,55
149,170
150,316
151,221
152,99
153,13
154,672
155,183
156,267
157,23
158,155
159,22
160,130
163,23
164,163
165,80
166,407
167,97
168,107
170,35
171,12
172,70
173,36
174,12
175,174
176,122
178,579
179,14
180,63
181,12
182,77
183,61
184,70
185,31
186,112
188,28
190,126
191,102
192,1529
193,237
194,357
198,33
199,14
200,257
202,15
204,64
205,31
206,136
207,218
208,267
209,39
210,13
211,11
212,12
214,64
215,30
216,85
218,125
220,264
222,47
223,267
228,56
230,28
231,13
232,126
233,15
234,420
235,57
236,122
238,13
240,929
241,87
242,19
243,56
244,63
245,18
246,148
247,26
248,137
250,155
251,11
254,94
256,64
258,348
259,33
260,34
262,170
263,27
264,105
271,15
272,46
274,118
276,1761
277,331
278,274
280,148
282,104
286,38
288,91
290,230
291,197
292,184
293,22
294,18
298,14
300,78
302,37
303,24
304,179
305,11
306,279
307,189
308,62
310,39
312,29
313,11
314,34
316,58
318,317
319,19
320,27
322,13
326,191
327,26
328,27
329,19
330,26
332,32
334,72
338,384
339,79
340,23
344,31
346,26
347,26
348,89
353,17
354,30
358,22
360,90
363,14
366,15
372,97
374,26
380,11
386,17
390,11
403,16
405,13
424,20
426,13
431,15
432,13
438,23
439,12
440,19
442,13
452,44
453,78
454,49
456,114
462,28
466,33
467,48
468,188
469,40
472,14
482,101
483,85
484,17
508,126
510,43
514,26
527,16
537,107
538,28
541,23
542,68
556,56
562,21
583,50
598,14
600,14
608,58
609,12
615,232
616,90
617,11
618,11
625,17
630,14
642,17
658,14
659,338
660,113
661,18
740,140
741,38
742,75
743,14
744,32
773,283
784,18
787,29
788,15
792,510
793,247
794,130
795,41
800,12
814,20
852,54
853,18
882,11
893,306
894,192
895,56
958,14
