"m.z","int"
106,117
121,27
122,49
124,186
132,188
134,48
135,198
137,21
138,82
139,228
140,283
146,104
152,317
154,1085
155,222
156,305
158,47
160,36
163,98
164,67
165,64
166,146
168,219
170,31
172,60
176,47
178,325
179,21
180,218
190,22
193,83
194,134
197,30
200,150
204,40
206,32
207,23
208,69
213,26
218,39
222,111
236,118
250,107
254,140
256,21
267,27
272,352
278,31
282,47
283,47
290,60
294,115
296,23
300,30
303,72
306,198
308,21
310,34
314,127
318,114
326,1422
327,323
328,147
332,29
334,28
338,60
344,54
402,30
438,46
440,21
452,87
453,103
454,48
466,45
467,85
468,324
469,101
482,228
483,137
508,151
537,165
538,57
541,22
542,110
543,41
556,129
557,33
560,33
562,23
583,136
584,49
608,59
615,591
616,262
617,47
625,30
642,21
659,753
660,400
661,26
689,43
740,115
741,33
742,79
743,23
769,101
784,40
786,26
787,41
788,88
789,37
792,759
793,337
794,96
823,22
838,125
839,103
852,205
853,90
874,28
882,35
893,997
894,765
895,460
896,120
901,45
943,75
958,48
977,27
