"m.z","int"
101,23
102,12
104,25
105,40
106,494
107,55
108,49
110,36
111,632
112,50
113,320
114,25
115,131
116,27
117,8
118,10
119,16
120,34
121,34
122,1462
123,141
124,2494
125,228
126,276
128,7
129,25
130,64
131,32
132,202
134,111
135,6
136,417
137,113
138,298
139,684
140,760
141,66
142,18
143,15
144,25
146,62
148,39
150,48
151,124
152,665
153,49
154,544
155,58
156,138
157,10
158,841
159,34
160,69
162,48
163,46
164,214
165,120
166,554
167,34
168,3636
169,430
170,658
171,15
172,51
173,8
174,56
176,296
178,547
179,40
180,368
181,45
182,54
183,6
184,47
185,203
186,101
187,13
188,30
190,48
191,8
192,297
193,76
194,343
195,14
196,46
197,42
198,61
199,10
200,84
201,7
202,40
204,58
205,12
206,99
208,310
209,14
210,135
212,41
213,12
214,41
216,10
217,6
218,167
219,7
220,46
222,424
223,33
224,56
225,9
228,32
229,19
230,10
232,73
234,85
236,76
237,19
238,15
240,31
244,12
246,9
248,63
250,67
251,7
252,12
253,8
254,96
255,7
256,13
257,6
258,6
260,6
262,6
264,17
268,6
271,7
272,14
274,24
276,8
280,23
281,8
282,32
286,82
290,9
292,8
294,9
302,6
303,15
306,59
308,49
309,6
310,50
312,35
314,16
318,18
326,57
328,23
330,6
334,14
346,9
360,81
362,7
402,9
410,10
411,6
412,6
413,8
414,8
422,8
423,12
424,65
425,42
426,35
427,15
428,14
430,10
431,9
436,6
437,15
438,55
439,41
440,74
441,38
442,30
443,9
450,13
451,35
452,139
453,199
454,110
455,44
456,55
457,8
458,7
462,47
463,9
464,7
465,26
466,86
467,148
468,459
469,148
470,64
471,6
480,18
481,20
482,312
483,212
484,131
485,19
490,7
496,6
498,21
499,24
500,23
510,8
512,24
514,54
515,8
526,15
527,85
528,19
537,165
538,52
540,6
541,81
542,142
543,24
544,9
550,8
556,203
557,49
558,13
560,52
561,12
562,9
567,182
568,64
570,9
572,15
583,14
599,10
600,28
601,7
614,37
615,626
616,185
617,83
618,12
641,8
642,7
658,13
659,435
660,147
661,21
682,8
733,10
744,7
755,8
766,186
767,53
785,7
792,63
793,24
794,70
795,21
796,8
874,8
884,7
893,619
894,418
895,134
896,26
958,9
959,6
