"m.z","int"
101,1033
102,210
103,656
104,298
105,931
106,1464
107,1047
108,2072
109,1114
110,2832
112,1521
113,1375
114,243
115,4338
116,729
117,1945
118,165
119,660
120,4854
121,1605
122,16882
123,3232
124,1936
125,350
126,497
127,72
128,317
129,825
130,1124
131,1055
132,6356
133,701
134,2399
135,1747
136,11725
137,3159
138,8553
139,1928
140,2646
141,6728
142,447
143,815
144,780
145,718
146,358
148,323
149,408
150,237608
151,23167
152,6111
153,945
154,4488
155,574
156,1844
157,4566
158,4529
159,1115
160,342
161,1191
162,1516
163,2272
164,1578
165,8209
166,3884
167,1474
168,5173
169,518
170,1276
171,487
172,7323
173,3679
174,6745
175,1532
176,767
177,793
178,66693
179,9561
180,4120
181,2140
182,2285
183,348
184,2606
185,899
186,3241
187,972
188,820
189,1327
190,897
191,777
192,10017
193,2260
194,5578
195,3333
196,4751
197,3091
198,1363
199,571
200,4133
201,1515
202,1239
203,888
204,884
205,675
206,1237
207,792
208,5677
209,1064
210,3371
211,1254
212,1994
213,908
214,2768
215,1348
216,9475
217,1515
218,15406
219,5445
220,1765
221,500
222,5340
223,3993
224,38512
225,5260
226,1788
227,657
228,1640
229,349
230,740
231,473
232,2364
233,371
234,4294
235,4412
236,4204
237,1258
238,2318
239,1334
240,2802
241,2469
242,661
243,185
244,508
245,2115
246,502701
247,61862
248,5522
249,653
250,4429
251,2303
252,2310
253,836
254,10414
255,2893
256,1123
257,5084
258,861
259,1156
260,3575
261,1553
262,79665
263,10113
264,6353
265,709
266,1270
267,1942
268,744
269,578
270,1962
271,391
272,1198
273,2502
274,3428
275,591
276,1004
277,930
278,2709
279,3403
280,7893
281,2500
282,9839
283,4484
284,8322
285,717
286,1533
287,157
288,1004
289,964
290,1405
291,591
292,1142
293,908
294,641
295,3621
296,1051
297,5953
298,3251
299,1904
300,2627
301,3486
302,17362
303,2796
304,3398
305,1815
306,3763
307,696
308,586
309,249
310,9546
311,2676
312,465
313,5673
314,761
315,1159
316,234
317,4539
318,2495
319,1773
320,1616
321,301
322,1279
323,477
324,2767
325,423
326,2246
327,240
328,828
329,188
330,435
331,188
333,1322
334,123
335,246
336,1667
337,224
338,476
339,2374
340,1543
341,1286
342,772
343,375
344,526
345,593
346,142
347,117
349,814
351,673
352,571
353,488
354,3388
355,2236
356,512
357,1467
358,1273
359,279
361,950
362,3004
363,678
364,391
365,120
366,93
367,148
368,89
369,118
370,1167
371,432
372,180
373,1302
374,535
375,819
377,1727
378,910
379,583
380,472
383,313
385,95
388,374
389,172
391,86
392,655
393,376
394,540
395,326
397,444
399,1223
400,225
401,426
402,139
404,91
405,254
406,98
407,67
409,422
411,334
413,212
414,1464
415,248
416,109
417,240
418,135
419,74
420,343
421,216
425,112
426,139
427,146
429,210
430,220
431,591
433,866
435,677
437,266
439,133
442,492
444,93
449,73
450,76
451,124
455,347
457,709
458,89
459,408
463,392
467,143
468,20805
469,5587
470,926
471,102
473,85
476,477
484,1293
485,155
486,175
487,138
489,347
491,314
493,396
495,244
501,175
509,85
511,71
513,93
515,271
517,270
524,1037
525,366
526,79
527,196
529,166
532,430
542,131
547,136
549,204
551,259
553,149
555,83
573,159
575,123
585,73
590,124
605,102
607,145
609,178
611,92
615,130
616,333
617,117
618,81
631,90
633,70
643,69
659,78
665,84
679,70
682,113
683,67
731,105
742,80
744,99
746,180
753,255
754,121
781,145
784,94
790,74
792,880
793,374
794,166
798,200
799,102
800,497
801,243
810,69
820,417
821,182
822,312
823,187
824,215
825,150
826,360
827,226
828,287
829,144
838,139
846,289
847,161
848,288
849,231
850,181
851,79
852,74
868,127
870,70
872,172
873,110
874,475
875,267
876,181
877,88
893,142
894,194
896,133
897,109
898,83
900,94
922,91
923,75
958,145
959,83
960,66
