"m.z","int"
103,79
105,62
106,29
107,1031
108,81
109,983
110,59
112,22
113,189
115,78
116,36
117,39
118,21
120,393
121,102
122,43
124,69
125,78
126,479
127,25
129,37
131,238
132,273
133,27
134,101
135,107
136,455
137,17
138,533
139,75
140,51
141,183
142,16
143,715
144,16
145,29
146,75
147,46
148,270
149,136
150,623
151,149
152,170
153,18
154,289
155,135
156,169
157,132
158,434
159,116
160,96
161,38
162,36
163,37
164,109
165,792
166,381
167,167
168,254
169,70
170,94
171,38
172,216
173,162
174,50
175,295
176,99
177,56
178,337
179,28
180,122
181,457
182,78
183,81
184,79
185,103
186,290
187,20
188,29
189,117
190,107
191,134
192,444
193,39
194,202
195,25
196,46
197,449
198,45
199,69
200,253
201,18
202,136
203,62
204,101
205,236
206,164
207,54
208,211
209,22
210,38
212,33
213,148
214,261
215,65
216,66
217,27
218,106
219,185
220,136
221,258
222,166
223,135
224,45
225,17
226,40
227,8
228,57
229,30
230,159
231,99
232,92
233,46
234,108
235,63
236,123
237,152
238,138
239,31
240,3960
241,515
242,49
243,131
244,13
245,92
246,210
247,112
248,60
249,35
250,104
251,19
252,23
253,46
254,259
255,102
256,2200
257,427
258,375
259,140
260,25
261,29
262,283
263,130
264,23
265,36
266,21
267,11
268,8
270,150
271,79
272,25
273,30
274,81
275,52
276,1131
277,196
278,218
279,70
280,80
281,40
282,59
283,32
284,8
285,15
286,96
287,32
289,30
290,85
291,257
292,123
293,24
294,35
295,54
297,16
298,91
299,20
300,32
301,6
302,11
303,74
304,116
305,33
306,115
307,247
308,37
310,49
311,27
312,65
313,47
314,81
315,65
316,7
317,46
318,418
319,53
320,45
321,12
322,34
323,26
324,54
325,36
326,187
329,20
330,40
331,9
332,20
334,58
335,15
336,8
338,99
339,18
340,21
341,32
343,9
346,55
347,52
348,149
350,11
351,24
352,6
353,12
357,16
359,6
360,115
361,50
363,27
364,26
365,12
367,12
371,12
372,10
373,37
375,28
376,22
377,10
378,9
381,10
382,9
394,23
396,12
401,6
404,8
406,7
409,12
410,10
411,10
412,6
417,16
423,8
424,18
425,22
426,7
427,16
429,8
431,47
433,25
435,13
437,7
438,22
439,27
440,36
441,28
442,11
443,15
447,7
449,10
450,10
452,47
453,84
454,48
455,6
456,102
457,8
461,11
462,40
463,13
465,6
466,47
467,57
468,182
469,41
470,6
472,6
478,8
480,10
481,9
482,147
483,73
484,32
489,19
491,20
493,17
498,8
499,15
505,7
507,10
508,11
514,32
522,16
527,45
537,114
538,38
540,11
541,36
542,60
543,7
546,6
549,6
550,22
555,7
556,81
557,9
558,6
560,22
562,24
566,14
567,304
568,127
569,11
582,12
583,60
584,18
590,21
600,6
608,20
614,19
615,271
616,102
617,23
618,6
625,7
650,15
657,11
658,29
659,303
660,122
661,16
668,13
731,60
732,17
759,10
770,6
771,227
784,10
792,173
793,70
794,34
805,7
808,17
810,15
816,8
826,11
827,32
828,7
838,24
842,8
853,6
854,16
870,16
871,6
878,9
893,436
894,270
895,67
896,13
958,38
959,13
