"m.z","int"
116,45
118,57
120,222
121,25
126,26
129,11
131,27
132,119
134,500
135,168
136,1841
137,200
138,552
139,17
140,23
142,23
143,23
146,57
148,49
149,17
150,173
151,450
152,128
153,26
154,479
155,85
156,135
158,282
159,12
160,53
163,28
164,830
165,160
166,274
167,18
168,58
170,45
171,22
172,133
174,40
175,16
176,312
177,14
178,1791
179,151
180,212
185,36
186,175
187,13
188,29
190,94
192,332
193,47
194,869
195,82
196,68
200,51
202,22
204,77
206,580
207,39
208,676
209,131
210,52
212,77
214,166
215,19
216,17
218,145
220,303
222,219
223,11
226,21
228,21
230,18
232,83
234,234
235,11
236,523
237,24
238,96
239,13
240,3320
241,471
242,80
244,35
246,119
248,159
250,178
251,12
252,100
254,279
255,47
256,72
257,11
258,117
262,128
264,121
266,242
267,13
268,13
271,12
272,12
274,44
276,714
277,96
278,185
280,16
286,23
290,72
291,59
292,30
294,32
298,28
300,23
303,40
304,157
306,79
308,63
310,135
311,14
314,12
316,155
318,238
319,14
326,41
330,38
332,23
334,241
335,40
336,13
338,71
346,28
348,100
349,70
360,42
362,67
374,11
376,94
378,23
386,26
392,41
396,15
406,87
452,22
453,22
456,201
457,52
462,12
467,18
468,87
470,20
482,45
483,15
508,42
510,15
518,18
537,46
542,16
556,30
562,26
583,24
615,115
616,34
625,17
659,115
660,40
740,33
742,47
744,16
746,14
771,39
787,39
790,23
792,431
793,165
794,132
795,39
796,35
825,13
838,30
852,67
853,17
868,38
869,15
882,15
893,164
894,94
895,17
