"m.z","int"
101,6
106,213
107,6
108,14
110,6
111,397
112,31
113,407
114,32
115,97
116,14
117,12
119,8
121,7
122,578
123,77
124,1323
125,85
126,116
129,11
130,79
131,33
132,65
134,39
136,139
137,96
138,159
139,268
140,329
141,11
142,23
143,9
146,11
150,30
151,35
152,306
153,36
154,322
155,43
156,105
158,781
159,40
160,15
162,31
163,21
164,86
165,89
166,284
167,8
168,1511
169,167
170,239
172,27
174,43
176,29
178,254
180,193
181,21
182,37
184,17
185,34
186,75
190,19
192,84
193,34
194,190
195,23
196,38
197,58
198,36
199,31
200,32
202,8
204,9
206,33
208,167
210,57
212,28
214,31
218,81
220,21
222,168
223,22
224,34
232,30
234,33
236,100
237,6
238,13
240,40
244,9
246,7
248,20
250,75
251,7
253,12
254,135
255,32
257,12
259,7
264,27
274,32
278,15
280,47
281,6
282,9
286,25
292,10
293,8
295,7
303,50
306,28
310,46
311,8
312,18
314,17
317,8
326,18
334,18
338,6
351,9
360,23
362,9
414,6
424,7
425,7
426,7
428,6
441,8
452,17
453,46
456,8
466,17
467,34
468,93
469,16
470,6
482,67
483,17
484,15
498,9
514,7
522,7
527,7
537,21
542,23
550,8
556,38
560,9
567,33
568,12
572,14
583,10
615,138
616,33
659,52
660,8
767,239
772,16
773,9
792,70
793,28
794,12
795,9
796,6
798,23
799,14
800,43
801,26
820,7
824,13
825,7
826,33
827,10
828,24
829,18
838,6
846,17
847,6
848,14
849,7
868,8
872,11
873,6
874,24
875,13
893,118
894,69
909,10
958,6
