"m.z","int"
103,15
104,30
105,244
106,360
107,62
108,45
109,38
110,46
111,10
112,6
113,757
115,369
116,70
117,32
118,8
119,21
120,55
121,167
122,328
123,33
124,376
125,31
126,51
129,75
130,137
131,276
132,496
133,50
134,244
135,15
136,524
137,272
138,427
139,507
140,649
141,37
142,54
144,39
145,13
146,59
147,30
148,201
150,129
151,180
152,989
153,121
154,445
155,52
156,149
157,26
158,4091
159,517
160,102
161,97
162,231
163,45
164,365
165,73
166,1098
167,81
168,1139
169,138
170,482
171,9
172,364
173,46
174,860
175,1023
176,310
177,173
178,1060
179,224
180,1043
181,294
182,433
183,14
184,173
185,178
186,326
187,9
188,178
190,278
191,35
192,421
193,231
194,1008
195,339
196,424
197,814
198,193
199,114
200,222
201,190
202,261
203,16
204,274
205,44
206,369
207,62
208,1389
209,142
210,607
211,23
212,247
213,397
214,159
215,148
216,202
217,330
218,555
219,102
220,193
221,36
222,496
223,60
224,427
225,56
226,233
227,6
228,145
229,26
230,111
231,78
232,260
233,224
234,486
235,59
236,242
237,79
238,226
239,26
240,395
241,73
242,89
243,17
244,94
245,34
246,72
247,7
248,187
249,87
250,350
251,6
252,140
253,42
254,137
255,63
256,333
257,21
258,53
259,530
260,55
261,72
262,98
263,127
264,111
265,18
266,128
268,52
270,106
271,31
272,183
273,12
274,117
275,395
276,74
277,108
278,167
279,112
280,77
281,29
282,91
283,78
284,25
286,71
287,6
288,29
289,12
290,133
291,36
292,42
293,36
294,128
295,38
296,145
297,24
298,30
299,35
300,115
301,6
302,9
303,56
304,68
305,6
306,541
307,126
308,71
309,6
310,94
311,9
312,65
314,355
315,77
316,75
318,211
319,21
320,17
321,12
322,33
323,21
324,44
326,2281
327,615
328,320
329,46
330,14
332,93
334,217
335,13
336,35
339,10
340,14
342,108
344,82
345,34
348,9
349,41
350,9
351,26
352,38
353,9
354,10
358,6
360,56
361,64
362,30
363,7
364,26
365,35
366,39
367,17
368,36
372,9
374,7
377,40
378,79
379,136
380,8
381,12
382,55
386,44
388,31
389,8
393,8
394,107
395,152
397,142
398,51
401,10
402,32
403,9
405,262
406,83
407,28
408,8
410,74
411,92
413,18
414,183
415,39
416,117
417,23
424,25
425,58
426,70
427,8
428,6
430,190
431,45
432,11
434,9
436,27
438,23
439,11
440,28
441,6
442,110
443,86
444,6
449,6
451,37
452,58
453,65
454,40
455,13
456,47
458,98
459,20
460,21
461,8
462,21
463,42
464,6
465,11
466,40
467,71
468,282
469,73
470,49
471,8
472,28
473,7
475,8
477,28
478,8
479,75
480,35
481,22
482,149
483,81
484,98
485,24
486,42
487,6
488,28
489,7
491,49
492,19
495,80
497,29
498,10
499,10
503,11
506,26
507,42
508,393
509,91
510,70
511,21
512,51
513,15
514,74
515,21
517,72
519,26
522,44
524,183
525,179
526,100
527,34
528,36
529,7
530,25
531,14
533,66
534,12
535,27
536,11
537,183
538,56
540,8
541,26
542,100
543,110
544,20
546,17
548,7
549,9
550,15
552,15
554,29
556,65
557,7
558,36
559,23
560,18
562,86
563,22
564,12
565,195
566,42
567,69
568,45
570,6
576,7
578,72
579,33
580,14
581,198
582,56
583,111
584,35
588,9
590,42
591,35
596,11
598,12
600,18
604,12
606,70
607,26
614,16
615,229
616,84
617,31
625,27
631,13
632,17
634,18
638,6
641,9
644,13
646,26
648,6
652,8
658,18
659,230
660,101
667,9
668,9
674,23
682,34
683,15
690,8
696,6
698,46
699,25
700,8
705,13
715,13
718,12
719,7
720,9
722,10
724,43
725,18
727,42
728,9
733,7
734,13
735,8
736,10
738,30
740,49
741,29
742,40
743,58
744,47
745,6
746,20
747,8
748,9
750,12
752,17
753,7
754,12
755,23
756,30
757,11
758,32
759,12
760,29
761,8
762,16
763,6
764,9
765,9
766,227
767,7
768,13
769,11
771,29
772,32
775,7
781,14
782,13
787,21
788,38
789,36
790,35
791,32
792,1273
793,633
794,274
795,88
796,119
797,56
798,36
799,7
801,18
802,8
803,11
804,8
806,31
807,18
808,1441
809,667
810,375
811,124
812,133
813,57
814,54
815,7
816,8
817,26
818,10
819,10
820,8
822,6
824,35
825,14
826,9
827,38
828,16
836,14
837,7
838,18
839,7
846,6
849,75
850,26
852,33
853,12
862,15
865,75
866,32
867,6
875,6
882,37
883,7
893,379
894,255
895,81
896,15
897,6
916,9
932,10
933,9
958,27
959,22
974,36
975,20
