"m.z","int"
101,25
102,113
103,1295
104,176
105,270
106,632
107,148
108,808
109,185
110,3248
111,169
112,10945
113,4031
114,108
115,1930
116,617
117,364
118,294
119,961
120,1877
121,1017
122,2451
123,685
124,931
125,54
126,730
127,34
128,858
129,661
130,2493
131,2473
132,1607
133,320
134,1109
135,195
136,2418
137,1772
138,2012
139,478
140,1053
141,1198
142,458
143,384
144,487
145,800
146,479
147,155
148,1197
149,296
150,23772
151,3841
152,1754
153,427
154,1637
155,650
156,1132
157,2391
158,2415
159,2091
160,623
161,614
162,935
163,826
164,1602
165,1586
166,2975
167,1225
168,1929
169,336
170,1822
171,230
172,2995
173,1731
174,685
175,1461
176,887
177,929
178,5282
179,1897
180,1452
181,1886
182,1235
183,188
184,734
185,1162
186,3865
187,641
188,885
189,822
190,1050
191,394
192,2897
193,768
194,1571
195,589
196,2798
197,2847
198,1394
199,559
200,25044
201,3824
202,1495
203,468
204,743
205,696
206,1656
207,734
208,2614
209,207
210,1526
211,367
212,1927
213,4585
214,7249
215,1972
216,1428
217,539
218,5330
219,1818
220,2656
221,796
222,2170
223,1128
224,2462
225,372
226,1331
227,216
228,2022
229,515
230,3262
231,807
232,8049
233,1162
234,1237
235,2334
236,1933
237,908
238,2549
239,633
240,91690
241,12387
242,3579
243,442
244,532
245,562
246,2931
247,526
248,826
249,238
250,2208
251,1453
252,2431
253,632
254,8886
255,1471
256,45079
257,7021
258,8037
259,1309
260,1067
261,369
262,2971
263,651
264,795
265,91
266,997
267,562
268,979
269,339
270,5159
271,906
272,940
273,1130
274,1326
275,618
276,7097
277,1650
278,3402
279,1145
280,15712
281,2840
282,899
283,655
284,389
285,237
286,588
287,280
288,487
289,617
290,1289
291,7023
292,1991
293,1169
294,1568
295,1781
296,656
297,577
298,951
299,417
300,905
301,480
302,358
303,1429
304,1453
305,2087
306,1450
307,1109
308,597
309,182
310,2714
311,1892
312,806
313,335
314,1218
315,480
316,532
317,995
318,9258
319,1625
320,863
321,359
322,743
323,413
324,439
325,269
326,3352
327,727
328,509
329,101
330,523
331,327
332,331
333,768
334,442
335,145
336,165
337,235
338,902
339,532
340,280
341,92
342,466
343,97
344,136
345,201
346,482
347,135
348,2169
349,905
350,357
351,220
352,287
353,583
354,165
355,397
356,273
357,399
358,346
359,56
360,521
361,405
362,312
363,83
364,396
365,97
366,217
367,96
368,351
369,271
370,121
371,172
372,373
373,460
374,392
375,261
376,205
377,145
378,379
379,89
380,237
381,36
382,423
383,75
384,68
385,64
386,156
387,79
388,192
389,214
390,70
391,126
392,240
393,101
394,161
395,146
396,74
397,100
398,25
399,77
400,21
401,65
402,200
403,27
404,14
405,133
406,43
407,54
408,177
409,58
410,174
411,180
412,29
413,114
414,38
415,35
416,190
417,205
418,31
419,12
420,130
421,64
422,29
423,81
424,192
425,56
426,44
427,102
428,48
429,118
430,332
431,94
433,239
434,421
435,148
436,113
437,77
438,232
439,184
440,136
441,57
442,98
443,41
444,26
445,14
446,13
447,29
448,16
449,144
450,81
451,94
452,304
453,380
454,411
455,214
456,8732
457,2063
458,307
459,31
461,57
462,382
463,185
464,30
465,86
466,274
467,201
468,662
469,183
470,690
471,188
472,727
473,145
474,31
475,48
476,28
477,69
478,46
480,60
481,46
482,441
483,269
484,225
485,41
486,45
487,77
489,1026
490,224
491,152
492,101
493,122
494,116
495,108
497,18
498,41
499,69
500,28
502,112
503,213
504,26
505,237
506,124
507,39
508,678
509,196
510,398
511,130
512,120
513,31
514,238
515,72
516,206
517,81
518,999
519,253
520,31
521,55
522,61
523,32
524,274
525,93
526,414
527,159
528,123
530,51
531,48
532,35
533,30
534,130
535,37
536,33
537,597
538,183
539,22
540,50
541,94
542,364
543,273
544,126
546,217
547,37
548,15
549,12
550,22
551,69
553,167
554,61
555,27
556,217
557,101
558,39
560,54
562,161
563,24
565,268
566,44
567,50
568,31
569,68
570,31
572,19
573,13
574,13
578,45
580,15
581,136
582,67
583,277
584,84
585,21
589,11
590,30
591,43
592,11
594,21
596,47
597,11
598,14
599,18
600,46
601,11
606,13
608,120
609,17
610,74
611,17
612,11
613,26
614,69
615,892
616,256
617,98
618,12
625,34
626,17
627,22
632,12
641,18
642,35
651,12
657,11
658,76
659,825
660,316
661,34
668,32
669,22
674,13
675,27
676,18
682,42
683,17
684,60
685,11
691,12
698,156
699,37
705,13
706,15
727,15
740,17
742,18
743,20
744,40
751,14
753,14
758,50
760,52
766,11
770,318
771,16
772,45
775,11
779,29
781,24
784,11
787,257
788,123
789,135
790,101
791,41
792,799
793,374
794,537
795,240
796,105
797,32
798,84
799,11
800,34
801,14
803,22
806,52
807,18
808,801
809,343
810,519
811,217
812,85
813,27
814,75
815,34
816,42
817,61
818,15
819,25
820,11
824,57
825,33
826,20
827,142
828,97
830,11
831,62
832,40
836,32
841,24
842,28
843,29
844,70
845,14
846,105
847,26
849,119
850,38
862,92
865,191
866,86
867,12
871,21
872,16
874,12
875,14
882,12
891,24
892,15
893,1015
894,602
895,148
896,42
897,11
910,12
918,13
958,52
959,21
974,43
975,17
