"m.z","int"
101,24
102,28
103,56
104,73
105,551
106,180
107,754
108,35
110,535
111,22
112,75
113,802
114,75
115,328
116,31
117,77
118,23
119,43
120,52
121,259
122,380
123,1085
124,111
125,253
126,98
128,37
129,65
130,18
131,9
132,44
133,47
134,92
135,13
136,20
137,101
138,397
139,1145
140,446
141,568
142,32
143,23
144,46
145,158
146,22
147,7
148,9
149,43
150,306
151,55
152,239
153,61
154,314
155,54
156,61
157,1328
158,50
159,117
160,23
161,87
162,67
163,118
164,50
165,121
166,118
167,207
168,181
169,169
170,144
171,33
172,134
173,463
174,52
175,204
176,50
177,45
178,148
179,226
180,134
181,66
182,88
183,18
184,74
185,112
186,79
187,83
188,340
189,241
190,61
191,28
192,44
193,65
194,213
195,285
196,187
197,281
198,78
199,73
200,87
201,148
202,43
203,109
204,107
205,166
206,106
207,110
208,26
209,62
210,129
211,69
212,182
213,90
214,58
215,128
216,29
217,160
218,196
219,187
220,99
221,30
222,53
223,278
224,176
225,26
226,38
227,18
228,84
229,73
230,32
231,10
232,97
233,89
234,124
235,294
236,67
237,45
238,122
239,141
240,47
241,75
242,15
243,6
244,17
245,112
246,43
247,28
248,49
249,9
250,76
251,93
252,49
253,14
254,10
255,113
256,56
257,148
259,30
260,39
261,66
262,52
263,163
264,40
266,72
267,75
268,7
269,28
271,29
272,21
273,69
274,142
275,50
276,19
277,172
278,48
279,93
280,227
281,26
282,35
283,88
285,22
286,23
288,11
289,20
290,81
291,7
292,7
293,17
294,36
295,69
296,12
299,18
300,8
301,33
303,14
304,42
305,27
308,7
311,42
312,10
313,19
315,25
317,51
319,47
320,11
322,11
323,17
325,6
326,86
327,10
328,8
330,8
333,10
337,78
338,25
339,32
345,13
351,13
353,14
361,33
362,51
373,18
375,9
378,31
379,7
395,10
405,9
415,40
424,9
425,9
437,8
440,6
451,6
452,17
453,32
454,19
456,6
457,15
466,15
467,26
468,71
469,26
470,9
480,6
482,65
483,44
484,35
493,8
514,14
527,25
537,18
541,16
542,44
553,13
556,36
557,12
560,20
567,31
568,8
570,7
583,28
584,8
614,9
615,151
616,60
617,28
630,7
659,71
660,29
661,8
675,6
768,265
893,162
894,120
895,16
