"m.z","int"
104,29
105,334
107,55
110,120
113,223
115,92
119,21
120,100
121,30
122,86
123,94
125,43
126,22
138,35
139,110
140,83
141,52
145,18
146,16
148,19
150,62
152,26
154,58
157,321
163,40
165,16
167,96
170,101
172,22
173,111
175,55
177,17
179,61
181,29
185,246
189,35
190,22
194,40
195,16
197,118
207,41
212,22
215,34
217,74
218,16
219,44
222,16
223,39
233,33
235,97
262,26
277,57
283,16
308,23
317,21
337,26
415,18
424,25
426,21
438,36
439,27
440,37
442,35
452,57
453,146
454,37
456,18
465,17
466,52
467,101
468,306
469,99
470,26
480,16
482,230
483,182
484,77
514,43
527,51
537,122
538,33
540,31
541,56
542,111
556,181
560,45
567,159
568,94
570,17
614,29
615,533
616,169
617,65
659,314
660,103
742,34
758,16
766,17
767,137
779,21
794,19
827,21
893,508
894,344
895,103
896,19
