"m.z","int"
122,9
125,23
129,9
132,14
133,8
134,6
135,7
138,6
143,37
146,93
147,57
150,185
151,6
155,134
164,33
167,13
169,7
172,27
176,35
178,8
190,7
201,7
206,49
207,67
208,16
209,7
212,15
216,29
227,139
229,39
231,8
241,12
242,16
245,31
246,168
256,33
260,7
270,7
273,8
274,58
276,9
282,8
302,34
304,21
307,6
308,9
316,19
317,17
328,466
329,113
330,14
331,140
342,17
361,10
364,16
375,32
378,34
380,7
388,16
402,40
408,35
409,9
418,20
419,6
582,7
628,6
630,13
666,14
676,16
744,21
766,28
767,193
802,66
803,27
804,42
805,6
830,18
832,15
856,7
882,9
964,19
966,12
967,10
