"m.z","int"
105,11
107,18
108,13
112,20
117,51
118,191
119,44
127,17
128,35
131,74
132,223
133,90
134,132
135,47
136,65
142,65
143,95
145,19
146,184
150,252
151,832
152,52
153,34
154,38
155,16
156,138
158,23
160,45
161,15
164,20
170,108
172,43
173,16
174,21
176,28
178,31
180,78
182,16
184,51
185,12
186,37
187,22
188,16
192,16
196,20
198,20
200,60
201,39
202,14
203,12
206,189
210,53
212,89
214,35
215,53
219,13
224,40
225,19
226,40
227,27
231,11
235,37
239,19
240,55
242,15
243,62
246,17
248,40
251,18
254,29
256,12
267,15
268,19
274,16
284,15
285,27
298,14
328,79
770,175
802,19
