"m.z","int"
101,20
105,41
106,14
110,14
112,15
115,17
116,74
117,108
118,63
120,56
121,16
124,118
125,60
129,12
132,29
134,17
136,48
137,31
138,38
139,24
140,49
143,35
149,24
150,42
151,94
152,54
153,31
155,54
159,29
160,54
161,12
165,33
166,17
167,51
168,48
169,21
171,15
175,14
176,17
178,14
180,42
181,12
182,89
183,42
185,56
186,19
187,31
188,11
189,25
190,13
191,21
194,50
195,37
196,13
197,17
198,32
199,113
200,15
201,28
203,12
204,57
205,15
206,98
208,11
209,27
210,39
213,66
214,34
215,12
216,29
218,136
219,15
220,41
221,12
226,25
227,25
228,18
233,13
236,25
240,23
241,21
242,46
244,39
252,32
254,19
257,12
265,64
266,20
268,11
269,17
272,14
273,11
275,15
280,16
284,28
289,20
291,13
294,11
295,13
298,21
301,38
302,31
306,14
312,11
314,19
324,13
328,18
329,23
331,25
335,21
342,14
372,12
395,11
593,12
630,12
631,33
744,20
766,18
769,85
799,14
801,11
802,12
827,18
828,14
830,16
930,34
931,22
963,21
966,49
967,35
968,17
