"m.z","int"
105,26
112,6
114,8
116,162
117,302
118,19
120,25
122,16
124,27
126,6
128,45
131,37
132,27
133,18
135,10
136,25
137,9
138,16
142,40
146,53
147,6
150,21
151,16
153,23
154,30
155,425
156,76
157,64
158,9
159,19
160,20
164,15
165,7
166,9
167,17
169,29
170,50
172,9
173,129
174,20
175,21
177,68
178,78
179,26
180,72
181,43
182,32
183,17
184,125
185,38
186,38
188,22
189,55
192,11
194,39
195,108
196,12
197,25
198,25
199,53
200,60
202,9
204,43
205,20
206,126
208,14
210,8
211,13
212,40
213,56
214,33
215,42
220,15
221,76
224,26
225,10
226,18
228,9
230,12
231,11
232,8
233,177
234,11
235,27
238,7
239,12
240,14
242,21
243,44
244,7
245,6
246,9
248,9
249,8
251,29
252,9
254,29
255,60
256,22
257,6
258,8
259,38
260,9
261,10
262,8
264,7
265,15
267,30
269,9
270,27
273,28
274,9
275,23
277,27
281,14
282,7
283,16
284,28
285,11
293,64
294,19
295,29
298,13
299,16
302,67
303,9
312,17
315,23
319,7
321,8
325,8
326,45
337,11
340,18
355,18
359,10
371,8
381,6
393,21
403,6
415,6
453,8
482,7
484,40
771,200
772,58
