"m.z","int"
114,13
118,34
122,11
123,41
124,17
125,59
127,11
130,141
132,37
138,13
139,17
140,34
143,20
144,25
145,18
146,11
148,35
150,23
152,24
153,27
154,21
155,12
157,127
160,25
163,14
164,18
165,15
167,39
169,12
172,100
173,33
181,11
184,13
190,16
193,40
194,16
195,16
198,31
201,19
202,177
204,30
210,13
214,18
215,23
226,35
227,12
231,12
232,83
233,27
236,14
238,135
239,46
242,43
244,17
248,35
253,21
254,34
256,57
268,74
271,11
272,82
280,39
284,35
289,15
292,89
296,19
298,18
300,63
302,71
310,23
314,12
318,45
320,28
324,23
326,25
334,20
338,31
346,16
348,23
361,31
363,61
364,104
366,211
367,24
368,29
374,55
376,114
388,11
390,20
392,33
418,133
419,20
420,210
421,33
482,97
484,68
488,13
504,16
518,26
519,20
520,19
526,35
528,291
529,51
535,14
547,16
548,54
549,14
554,12
556,200
557,33
558,14
564,35
580,21
582,16
584,38
586,68
592,163
593,49
608,26
610,35
614,19
616,12
628,21
630,12
658,91
659,120
660,50
664,45
665,11
674,32
682,63
683,14
694,149
695,60
696,38
697,11
700,25
704,118
705,29
710,12
718,11
738,23
739,12
748,310
749,156
750,25
764,40
766,205
767,13
866,21
925,32
926,33
928,152
929,85
930,47
931,25
938,38
939,21
982,255
983,211
984,37
998,14
