"m.z","int"
122,11
130,18
132,19
158,12
172,24
188,19
222,12
226,37
231,12
242,26
244,11
250,406
251,26
254,21
256,14
264,21
266,21
268,474
269,63
271,27
274,11
276,112
284,50
300,65
302,1319
303,226
304,19
316,65
318,70
332,20
334,73
335,25
338,14
348,16
358,11
361,70
364,68
366,11
370,13
374,54
376,19
392,117
407,17
414,30
416,14
418,199
419,38
482,21
486,73
500,14
519,12
522,234
523,54
524,48
526,13
528,209
529,17
532,89
550,65
551,16
552,12
554,52
556,221
557,47
576,435
577,128
578,43
580,53
582,71
583,11
584,11
630,30
714,28
732,21
738,31
739,17
740,54
741,19
742,14
748,30
754,70
755,25
756,21
760,30
761,12
764,24
766,24
767,176
772,13
786,78
787,16
788,75
789,25
806,19
808,145
809,72
810,12
812,43
814,23
860,24
861,18
