"m.z","int"
108,9
111,14
112,22
113,9
114,14
115,27
117,67
118,128
119,10
120,19
121,8
124,6
125,273
126,40
127,19
128,46
130,42
131,46
132,24
133,42
134,46
135,7
136,90
137,30
138,29
139,15
140,41
141,58
142,114
143,119
144,7
145,34
146,83
147,45
150,185
151,39
152,25
153,46
154,55
155,396
156,151
157,38
158,26
159,68
160,52
161,7
162,18
164,23
165,21
166,44
167,38
168,9
170,110
171,22
172,18
173,278
174,59
175,63
176,23
177,29
178,33
179,6
180,46
181,8
182,44
183,26
184,74
186,35
188,31
190,13
192,24
194,7
195,49
196,39
198,46
199,61
200,58
201,9
202,14
203,20
205,13
206,58
208,27
210,27
212,171
213,7
214,34
215,52
217,16
219,25
220,31
221,56
222,22
224,131
226,71
227,10
228,19
230,9
232,12
233,247
234,44
235,83
236,8
239,6
240,111
241,7
242,27
243,70
245,7
248,22
249,18
251,60
252,134
254,1459
255,225
256,22
257,7
258,9
259,25
261,23
262,15
264,12
265,7
266,8
268,40
269,13
270,87
271,8
275,42
276,34
277,61
278,100
279,32
280,7
282,12
285,6
288,10
292,13
293,68
294,24
295,26
297,9
298,37
299,18
300,14
303,7
310,9
311,22
312,10
313,7
314,7
315,10
316,243
317,20
318,61
319,6
320,6
323,10
330,39
331,8
332,217
333,38
334,198
335,30
337,7
338,7
339,29
341,7
343,7
346,32
348,62
349,8
350,34
353,6
355,51
356,7
361,62
362,16
363,21
364,68
365,7
366,12
371,62
372,25
380,14
382,6
393,9
399,13
410,7
415,9
431,7
456,11
463,7
477,8
482,29
484,131
485,11
488,7
493,10
500,13
509,9
519,7
524,15
526,15
528,49
529,9
556,13
582,28
584,16
686,6
772,250
