"m.z","int"
118,161
121,45
123,87
125,224
127,36
130,436
132,74
133,49
137,51
143,41
144,57
150,36
151,31
152,80
153,134
155,135
157,218
162,211
167,69
172,357
173,42
174,31
190,36
193,35
202,227
209,208
210,36
212,239
214,32
225,63
226,720
235,33
242,154
244,92
254,269
284,815
286,71
300,597
302,489
303,42
412,66
438,106
528,56
530,36
659,50
692,44
720,87
738,804
739,328
740,32
748,68
760,60
762,388
763,98
764,812
765,349
766,1039
767,486
768,357
769,92
786,367
787,120
790,63
792,618
793,188
794,33
801,216
802,80
803,51
804,446
805,194
806,57
808,44
811,31
814,192
815,117
828,38
858,607
859,254
860,192
861,52
