"m.z","int"
110,6
112,49
113,6
114,17
117,173
118,46
120,7
122,11
123,26
124,10
125,29
126,30
127,47
128,95
130,12
131,121
132,38
133,15
134,9
135,10
136,118
137,45
138,28
139,7
140,6
142,133
143,16
145,13
146,130
147,29
150,69
151,37
152,16
153,71
154,87
155,50
156,222
159,27
160,119
162,12
163,18
164,56
165,29
166,31
167,9
168,23
169,9
170,185
171,13
172,122
173,40
174,127
175,8
178,50
180,121
182,57
184,92
185,6
186,87
188,70
192,32
195,15
196,39
198,60
200,125
201,12
202,56
204,6
206,758
207,65
208,23
209,8
210,89
212,304
213,6
214,92
215,118
219,95
220,21
223,9
224,137
226,194
228,49
230,50
231,6
232,26
233,7
234,9
235,78
236,15
238,8
240,127
242,71
243,192
244,16
248,88
249,8
250,28
251,129
252,43
254,247
255,11
256,39
258,20
265,8
268,14
270,19
271,17
272,7
277,8
282,17
284,88
285,37
287,10
298,71
300,48
302,104
303,8
331,14
367,15
369,17
372,14
401,6
403,10
438,18
528,6
530,10
550,8
553,6
659,19
666,23
692,8
694,24
720,23
721,9
738,116
739,34
752,10
754,11
756,11
760,15
762,76
763,25
764,260
765,78
766,185
767,79
768,73
769,21
770,206
771,30
786,82
787,13
790,16
792,101
793,30
801,102
802,24
803,25
804,156
805,65
806,62
807,23
808,12
828,8
858,16
