"m.z","int"
159,195
169,13
174,23
175,62
177,31
181,128
183,18
185,20
186,27
199,358
201,85
226,50
231,22
232,11
233,13
239,28
241,12
245,17
248,23
252,15
261,19
266,17
267,48
275,11
276,15
277,27
279,78
280,13
283,78
284,56
288,29
289,22
294,14
295,30
299,11
300,38
301,455
302,312
303,64
310,13
311,24
317,72
319,27
323,26
341,26
351,12
359,11
363,114
364,19
365,20
373,15
379,13
381,53
385,50
387,16
396,22
401,17
403,149
405,12
418,12
419,35
421,13
443,21
452,11
465,38
483,19
487,11
498,14
505,52
521,14
528,57
545,12
553,15
556,39
567,21
585,11
607,11
659,11
730,39
736,39
738,189
739,62
740,22
748,14
758,16
762,13
764,76
765,27
766,45
767,20
768,121
792,129
793,49
804,50
805,23
840,36
841,16
944,22
