"m.z","int"
103,29
106,30
107,8
108,45
110,12
111,141
112,59
113,113
114,111
115,125
116,103
117,217
118,793
119,402
120,172
121,206
122,38
123,242
124,34
125,717
126,133
127,135
128,219
129,30
130,140
131,162
132,151
133,289
134,110
135,183
136,429
137,878
138,227
139,246
140,267
141,100
142,317
143,432
144,65
145,189
146,433
147,241
148,44
149,54
150,485
151,134
152,232
153,421
154,241
155,918
156,1261
157,212
158,83
159,75
160,275
161,23
162,408
163,157
164,256
165,185
166,165
167,116
168,217
169,34
170,321
171,148
172,344
173,81
174,169
175,13
176,67
177,173
178,165
179,129
180,282
181,55
182,97
183,116
184,171
185,14
186,173
187,15
188,186
189,7
190,67
191,89
192,122
193,65
194,28
195,306
196,124
197,49
198,170
199,135
200,198
201,57
202,208
203,16
204,52
205,24
206,510
207,81
208,32
209,66
210,151
211,78
212,553
213,262
214,199
215,232
216,33
217,59
218,42
219,102
220,285
221,30
222,37
223,21
224,338
225,11
226,986
227,59
228,124
229,36
230,81
231,40
232,70
233,15
234,32
235,196
236,54
237,27
238,67
239,12
240,234
241,17
242,251
243,256
244,83
245,32
246,39
247,26
248,279
249,34
250,47
251,282
252,351
253,51
254,1298
255,147
256,34
257,62
258,49
259,33
260,40
261,8
262,6
263,8
265,94
266,6
267,36
268,49
269,17
270,50
271,31
272,12
273,22
275,15
276,28
277,8
278,23
281,6
282,48
283,139
284,700
285,99
286,140
287,12
289,9
290,21
292,6
293,6
295,7
297,11
298,236
299,39
300,719
301,43
302,2842
303,539
304,24
306,36
307,16
308,6
312,73
314,9
316,38
318,128
324,35
328,14
329,9
331,66
333,73
334,32
338,42
340,66
341,38
342,118
344,16
346,9
348,19
349,50
356,31
357,27
358,86
359,18
360,98
361,15
362,7
363,25
364,43
367,8
369,16
372,107
385,13
390,7
396,6
403,21
405,22
408,11
410,19
413,6
414,40
419,9
436,24
438,34
456,11
459,6
462,6
478,11
482,223
483,26
484,525
485,82
486,19
488,17
490,10
506,24
510,33
517,73
518,7
519,7
520,184
521,43
522,77
523,14
524,20
526,21
527,13
528,490
529,84
530,28
531,6
536,6
538,11
540,7
542,13
544,8
550,49
552,16
554,124
555,6
556,418
557,92
558,6
560,6
568,8
574,14
576,11
578,7
582,7
586,36
587,9
588,7
596,6
604,51
605,15
610,9
614,43
638,12
646,6
658,8
659,54
660,17
686,8
692,13
699,6
718,9
720,119
721,40
722,9
734,40
735,8
736,153
737,35
738,458
739,143
740,14
748,75
749,14
750,72
751,18
754,8
762,135
763,26
764,531
765,190
766,217
767,51
768,306
769,110
770,15
772,187
786,64
787,25
788,7
790,42
792,296
793,109
794,10
796,16
797,9
801,97
802,30
803,10
804,208
805,76
806,67
807,19
808,18
811,20
812,53
813,18
814,10
822,25
824,9
828,13
840,207
841,93
842,6
850,10
858,18
873,6
925,11
928,6
929,7
948,8
996,18
