"m.z","int"
106,10
111,19
112,12
113,14
116,7
117,59
118,76
119,56
120,15
121,14
123,6
125,57
126,8
127,7
128,23
130,32
131,38
132,20
133,23
134,9
136,91
137,253
138,30
139,46
140,13
142,56
143,65
145,11
146,55
147,37
150,43
151,7
152,42
153,39
154,41
155,247
156,102
157,44
159,10
160,40
162,75
164,32
166,13
167,7
168,7
170,74
171,18
172,17
173,6
174,27
176,11
177,23
178,15
179,8
180,35
182,11
183,18
184,35
185,7
186,46
188,27
192,16
195,25
196,16
198,13
200,49
202,30
206,117
209,21
210,68
212,140
213,41
214,37
215,48
217,37
219,19
220,38
224,67
226,68
228,17
229,8
230,6
231,18
232,9
233,6
235,33
238,7
239,25
240,44
242,7
243,70
245,6
248,54
251,63
252,12
254,319
255,27
256,15
265,7
270,10
276,6
284,11
285,9
297,13
298,69
300,17
302,548
303,89
304,8
318,6
328,38
331,20
338,10
372,12
390,9
406,10
416,7
418,208
419,27
446,9
476,22
517,6
520,34
522,83
523,7
538,16
553,6
556,119
557,17
558,35
584,6
659,6
738,7
764,7
768,11
771,209
772,22
802,6
804,59
805,18
806,7
866,6
