"m.z","int"
103,11
107,11
108,18
111,161
112,48
113,98
114,98
115,135
116,81
117,75
118,740
119,117
120,200
121,117
122,11
123,148
124,11
125,838
126,111
127,141
128,105
129,25
130,300
131,75
132,70
133,347
134,138
135,101
136,413
137,400
138,178
139,115
140,288
141,87
142,187
143,468
144,80
145,172
146,225
147,303
148,70
149,75
150,377
151,110
152,183
153,211
154,197
155,430
156,166
157,73
158,120
159,85
160,167
162,198
163,60
164,103
165,52
166,105
167,77
168,35
169,21
170,130
171,46
172,159
173,62
174,60
175,17
176,84
177,56
178,57
179,67
180,76
181,52
182,54
183,120
184,75
185,29
186,61
188,84
190,62
191,42
192,64
193,16
194,23
195,140
196,45
197,13
198,114
199,20
200,83
201,55
202,84
203,14
204,23
206,151
208,14
209,93
210,40
211,23
212,141
213,63
214,52
215,59
216,41
217,22
219,89
220,174
222,12
223,38
224,80
226,435
227,25
228,49
230,14
232,27
234,47
235,41
236,18
238,29
240,97
241,37
242,111
243,89
244,36
245,11
246,20
248,432
249,27
250,129
251,105
252,1019
253,171
254,1817
255,236
256,14
259,22
260,44
261,22
262,12
265,42
266,29
268,19
270,43
272,15
274,92
276,130
278,123
280,12
282,18
283,40
284,202
285,13
286,86
298,51
300,496
301,17
302,1442
303,253
304,28
310,54
312,97
314,20
316,689
317,124
318,1107
319,207
327,14
328,36
331,16
332,104
334,514
335,79
336,13
338,33
340,102
342,13
350,89
354,19
358,46
359,12
360,13
361,52
362,44
364,126
365,21
366,35
370,29
372,13
482,191
483,29
484,416
485,46
486,43
488,137
490,15
500,37
506,14
517,124
518,25
519,17
520,417
521,157
522,182
523,36
524,195
525,33
526,60
528,810
529,159
530,45
544,57
548,65
550,81
552,295
553,46
554,182
555,32
568,11
570,14
574,68
576,12
578,26
582,14
586,55
613,15
650,17
659,35
660,17
661,12
673,11
683,11
686,37
697,11
712,22
720,12
732,14
736,12
738,332
739,76
740,56
762,63
763,31
764,99
765,24
766,68
768,28
772,194
775,18
786,43
802,33
804,44
806,18
818,38
844,27
868,11
871,27
885,62
905,38
906,21
911,24
925,11
935,30
971,11
973,11
