"m.z","int"
103,19
104,47
109,6
111,33
112,66
113,16
114,105
115,35
116,17
117,48
118,234
119,39
120,30
121,28
122,18
123,45
124,7
125,247
126,40
127,62
128,99
129,137
130,445
131,329
132,82
133,152
134,44
135,29
136,33
137,319
138,86
139,112
140,41
141,54
142,120
143,66
144,91
145,75
146,47
147,178
148,33
149,29
150,147
151,51
152,25
153,106
154,163
155,291
156,285
157,180
158,109
159,60
160,91
161,23
162,50
163,68
164,86
165,60
166,6
167,67
168,16
169,12
170,16
171,42
172,277
173,204
174,114
175,41
176,23
178,74
179,21
180,45
181,53
182,46
183,107
184,106
185,41
187,7
188,53
189,20
190,43
191,84
192,53
193,96
194,10
195,55
196,15
198,72
199,85
200,54
201,32
202,212
203,14
204,19
205,13
206,53
207,19
208,6
209,88
210,7
211,6
212,61
213,6
214,82
215,30
216,15
217,56
218,14
219,6
220,15
221,28
224,67
226,105
227,84
228,65
229,27
230,37
231,66
233,130
234,30
236,14
238,48
239,10
240,53
241,6
242,102
243,27
244,20
245,23
247,10
248,151
249,28
250,87
251,8
252,209
253,35
254,17
255,178
256,46
258,33
259,51
261,7
262,9
263,14
265,15
267,7
268,37
269,12
270,74
271,64
273,18
275,16
276,54
277,58
278,74
279,9
280,148
281,10
283,13
284,187
285,51
286,33
287,55
289,29
292,12
293,40
295,15
297,24
298,18
299,18
300,177
301,6
302,380
303,73
304,694
305,120
306,38
310,6
311,25
312,38
318,66
319,12
320,47
321,6
323,20
328,193
329,26
330,20
337,21
340,13
342,10
344,18
345,7
347,15
349,6
353,9
358,10
362,6
366,9
391,6
396,10
412,14
418,8
482,43
484,13
510,18
528,26
550,18
554,7
614,6
638,41
639,8
658,9
659,9
738,123
739,36
747,7
748,11
758,6
760,8
762,31
763,8
764,118
765,41
766,46
767,140
786,64
787,18
788,11
790,6
804,9
806,6
859,6
860,10
936,6
982,20
983,19
