"m.z","int"
101,55
102,341
103,65
106,60
107,74
108,33
109,30
111,11
113,17
114,85
115,196
116,174
118,873
119,106
120,125
121,131
122,22
123,157
125,803
126,62
127,111
128,144
129,18
130,576
131,95
132,157
133,391
134,157
135,177
136,154
137,293
138,65
139,80
140,241
141,127
142,326
143,233
144,151
145,153
146,115
148,98
149,59
150,210
151,150
152,85
153,234
154,146
155,308
156,20
157,217
158,374
159,130
160,250
161,82
162,87
163,177
164,21
165,213
166,59
167,200
169,11
170,52
171,15
172,287
173,210
175,100
176,121
177,51
178,21
179,122
180,24
181,37
182,27
183,120
184,26
185,56
186,15
188,42
189,14
190,105
191,84
192,67
193,33
194,12
195,30
196,15
198,72
199,32
200,51
201,77
202,95
203,14
204,13
205,13
206,45
207,37
208,21
209,96
210,20
211,14
212,11
214,11
215,39
216,79
217,16
218,11
220,17
225,21
226,441
227,13
231,46
232,19
235,13
241,30
242,86
244,19
265,45
276,34
284,243
286,15
289,12
293,12
300,197
301,12
302,87
307,14
342,13
528,11
738,27
766,144
767,22
786,172
787,45
830,36
838,12
