"m.z","int"
103,26
104,20
109,9
111,30
112,89
113,24
114,89
115,26
116,8
117,57
118,149
119,9
120,49
121,53
122,26
123,50
125,128
126,50
127,40
128,78
129,55
130,81
131,189
132,30
133,38
134,22
135,44
136,53
137,111
138,91
139,36
140,42
141,11
142,59
143,55
144,13
145,48
146,45
147,132
148,13
149,19
150,179
151,47
152,21
153,73
154,126
155,455
156,284
157,95
158,15
159,60
160,44
161,25
162,48
163,24
164,79
165,59
166,6
167,29
168,17
169,15
171,48
172,82
173,150
174,91
175,19
176,12
177,14
178,90
179,38
180,79
181,158
182,28
183,79
184,129
185,25
186,16
187,7
188,46
189,14
190,35
192,53
193,34
194,19
195,97
196,37
198,54
199,155
200,51
201,35
202,67
204,6
205,32
206,56
207,9
209,186
210,6
211,15
212,80
213,11
214,87
215,248
216,26
217,101
219,18
220,33
221,61
222,8
224,165
225,75
226,93
227,77
228,28
229,12
230,51
231,23
233,321
234,29
235,17
237,27
238,34
239,6
240,98
242,72
243,55
244,15
245,21
247,7
248,30
249,25
250,23
251,8
252,24
253,48
255,142
256,62
258,82
259,152
261,37
263,20
264,8
265,36
267,8
268,20
269,6
270,60
271,118
272,11
273,10
275,102
276,36
277,133
278,12
281,54
282,8
284,83
285,65
286,23
287,100
289,30
293,110
295,9
298,57
299,35
300,96
301,6
302,233
303,111
305,31
311,36
313,9
315,65
319,56
320,8
321,54
323,23
325,10
327,17
328,8
331,11
333,7
337,62
345,24
347,48
353,38
355,17
359,27
363,12
365,10
367,15
368,6
369,9
371,28
372,9
377,9
381,23
393,29
397,25
403,8
412,6
415,12
419,13
441,6
453,12
475,7
484,6
486,6
510,9
517,8
528,13
659,11
738,38
764,25
765,6
766,106
767,199
768,12
786,76
787,29
788,7
792,20
793,10
801,6
804,19
806,6
848,28
849,9
858,21
859,8
860,13
861,8
