"m.z","int"
103,6
105,6
108,6
110,8
111,68
112,23
113,39
114,28
115,62
116,43
117,99
118,354
119,52
120,55
121,70
122,6
123,147
124,13
125,359
126,64
127,52
128,103
130,114
131,73
132,20
133,109
134,31
135,47
136,214
137,280
138,136
139,70
140,151
141,20
142,152
143,315
144,19
145,97
146,112
147,144
148,17
149,28
150,310
151,49
152,109
153,128
154,139
155,168
156,139
157,30
158,32
159,35
160,97
162,98
163,69
164,83
165,58
166,46
167,45
168,25
169,11
170,132
171,18
172,75
173,32
174,63
176,45
177,11
178,62
179,17
180,76
181,48
182,40
183,86
184,77
185,8
186,73
188,63
190,31
191,6
192,41
193,14
194,11
195,41
196,41
198,69
199,20
200,102
201,33
202,34
203,6
204,7
205,8
206,692
207,73
208,21
209,27
210,81
211,16
212,149
213,28
214,56
215,76
216,30
218,14
219,25
220,69
223,7
224,68
226,443
227,8
228,15
229,6
230,12
232,21
233,6
234,17
235,48
236,12
237,13
238,32
240,62
241,15
242,92
243,102
244,51
245,6
248,29
249,7
250,31
251,82
252,47
254,172
255,8
256,26
258,11
259,27
260,7
261,13
263,6
265,40
266,6
268,15
270,11
271,7
276,20
277,7
283,60
284,330
285,37
286,36
290,9
292,6
298,93
300,322
301,8
302,150
303,8
307,10
312,24
314,16
324,16
331,22
340,11
341,14
342,42
358,32
369,6
372,25
510,10
528,9
550,7
556,7
659,19
660,6
738,25
762,14
764,106
765,19
766,64
767,16
768,13
770,11
772,71
786,193
787,69
788,18
790,50
791,7
792,171
793,65
801,11
804,21
806,12
814,11
848,21
