"m.z","int"
103,14
108,27
112,69
114,33
117,254
118,45
120,13
122,11
123,18
124,23
126,86
128,195
131,225
132,101
134,15
136,181
137,49
138,32
140,43
142,333
145,11
146,235
147,32
149,12
150,116
151,72
152,35
153,116
154,178
156,415
157,12
158,29
159,46
160,180
163,46
164,158
165,40
166,83
167,37
168,87
169,31
170,363
171,11
172,122
173,62
174,158
178,141
180,234
181,11
182,109
184,190
186,186
188,177
192,103
195,48
196,118
198,187
199,15
200,260
202,123
206,918
207,86
208,28
210,120
212,422
214,145
215,204
216,11
219,162
220,73
222,13
223,26
224,273
226,236
227,16
228,75
230,92
232,84
234,34
235,190
236,12
237,35
238,32
240,264
242,83
243,257
244,18
248,204
249,51
250,135
251,359
252,173
253,17
254,1003
255,114
256,79
258,46
265,50
268,28
270,77
271,38
272,13
276,99
277,17
278,30
280,46
282,73
284,17
285,64
286,12
287,12
291,13
292,11
298,199
300,30
302,2666
303,440
304,19
316,30
318,30
328,73
331,62
334,20
338,30
360,13
361,17
367,13
369,21
372,86
405,45
447,45
482,146
483,12
484,190
485,18
486,54
488,13
500,12
517,23
519,50
520,23
522,36
524,13
528,16
550,12
604,81
605,20
658,39
659,165
660,55
686,17
694,19
738,43
739,11
748,15
760,24
762,89
763,28
764,15
766,64
767,21
768,17
770,12
772,36
784,14
786,103
787,25
788,35
789,12
925,17
960,14
961,16
