"m.z","int"
102,40
104,8
112,10
114,47
115,44
117,15
118,6
119,20
121,11
122,12
126,8
128,22
129,9
130,10
131,73
132,9
133,15
134,12
135,19
137,6
138,22
140,6
142,12
143,22
147,18
149,21
150,68
151,11
153,6
154,23
155,235
156,106
157,44
158,14
159,25
160,10
161,13
163,6
164,6
165,14
167,17
169,48
171,18
172,30
173,36
174,43
175,25
176,7
177,67
178,23
179,31
180,52
181,109
182,28
183,46
184,68
185,39
186,29
187,27
188,23
189,20
190,42
191,7
192,23
193,14
194,11
195,28
196,16
197,25
198,31
199,127
200,12
201,11
202,50
203,16
204,36
205,9
206,28
207,15
208,22
209,43
210,12
211,81
212,59
213,18
214,45
215,200
216,18
217,86
218,21
220,22
221,62
222,7
223,28
224,60
225,48
226,6
227,57
228,43
230,19
231,20
232,14
233,324
234,25
235,11
236,19
237,34
238,45
239,21
240,47
241,7
242,29
243,28
244,16
246,11
247,23
248,51
249,25
250,34
251,8
252,44
253,17
254,6
255,123
256,22
257,7
258,41
259,114
260,34
261,65
262,23
263,7
264,30
265,22
267,15
268,24
269,54
270,30
271,98
273,22
274,16
275,116
276,74
277,126
278,6
279,45
280,18
281,63
282,79
283,108
284,6
285,66
287,38
288,17
289,21
290,19
291,6
292,62
293,128
294,15
295,55
296,40
297,20
299,110
300,30
301,17
302,372
303,127
304,55
305,51
306,7
309,20
310,51
311,19
312,10
315,56
316,14
317,45
318,19
319,52
320,7
321,41
322,49
323,59
324,26
325,16
326,10
327,45
328,69
329,18
330,29
331,35
332,9
333,7
334,13
335,31
336,32
337,124
338,54
339,17
341,9
342,19
343,40
344,57
345,7
347,11
348,6
350,15
351,16
352,27
353,43
354,34
355,64
356,17
357,7
358,15
359,23
360,8
361,31
362,58
363,42
364,15
365,14
366,20
367,16
371,41
372,30
373,13
374,30
376,10
377,19
379,72
380,40
381,35
382,26
383,101
384,26
385,106
386,33
387,20
388,27
389,41
390,65
391,84
392,9
393,28
394,36
395,65
396,16
397,16
399,24
404,20
406,42
409,6
410,6
412,33
413,22
415,13
416,6
419,19
420,7
421,7
424,13
425,11
426,24
427,38
428,9
429,6
431,8
432,8
433,44
434,7
437,8
439,18
443,13
444,25
445,40
446,6
448,11
449,6
450,8
451,45
453,12
454,7
456,31
457,15
461,29
462,21
463,18
464,19
465,13
466,40
467,74
468,20
469,8
470,13
471,61
472,67
473,86
474,52
475,6
476,11
478,27
479,13
480,43
482,82
483,22
484,65
485,10
486,6
491,6
495,10
499,6
500,16
501,17
503,9
504,6
505,10
508,6
511,10
513,14
514,9
515,23
522,32
528,32
532,10
533,11
534,26
538,7
540,7
543,7
544,11
545,40
546,18
548,8
549,10
550,15
551,33
554,15
556,44
558,6
559,6
560,28
561,14
562,47
563,6
566,23
571,9
573,34
587,10
590,6
600,6
604,22
622,17
634,15
638,6
639,6
640,6
643,7
644,11
645,13
648,8
650,15
651,22
665,7
675,8
720,6
722,14
733,6
738,35
739,9
762,10
764,11
767,159
786,12
803,6
811,6
