"m.z","int"
103,12
104,65
108,6
112,129
114,114
117,76
118,19
122,22
123,28
124,8
126,63
127,9
128,101
129,10
130,78
131,245
132,61
133,7
134,11
137,32
138,128
140,40
142,59
144,33
145,21
147,35
150,185
151,48
152,23
153,35
154,138
155,6
156,306
157,24
158,20
159,65
160,40
162,10
163,20
164,95
166,19
167,8
168,27
169,18
172,66
173,52
174,120
175,8
178,130
180,86
182,43
184,158
185,6
186,8
187,12
188,54
192,104
195,12
196,37
198,36
199,6
200,57
202,168
203,6
205,6
206,69
210,22
212,67
214,117
216,31
220,8
224,154
226,44
227,12
228,41
230,74
231,23
232,9
234,8
238,12
240,100
241,12
242,139
244,100
248,129
249,6
250,28
252,91
254,47
255,102
256,115
257,7
258,61
259,53
262,7
265,11
267,14
268,275
269,47
270,270
271,103
272,79
273,10
274,88
275,13
276,59
278,10
280,90
282,17
283,9
284,27
285,108
286,30
287,54
289,20
292,14
296,12
298,44
300,39
302,190
303,29
304,22
312,8
316,16
318,16
320,19
322,6
323,6
325,6
327,11
328,52
329,26
331,14
332,13
334,7
335,29
338,7
344,8
346,7
348,10
360,7
361,18
362,15
363,282
364,40
366,118
367,22
368,22
369,9
374,14
375,9
376,96
377,9
386,8
388,8
390,94
391,18
392,23
399,10
418,32
420,325
421,50
432,17
443,6
445,9
463,8
482,79
483,8
484,62
485,7
528,11
553,6
556,14
558,15
576,8
584,8
586,15
614,11
616,13
617,7
658,49
659,88
660,62
674,20
694,13
704,12
718,7
720,7
738,78
739,24
748,123
749,45
766,35
767,38
768,19
773,8
776,9
786,151
787,70
788,6
792,13
800,6
812,6
830,36
831,19
925,33
926,21
928,11
929,6
943,10
982,77
983,64
984,12
