"m.z","int"
103,40
104,38
111,33
112,113
113,16
114,103
115,54
117,59
118,335
119,78
120,43
121,43
123,79
125,305
126,75
127,69
128,94
129,455
130,529
131,651
132,177
133,303
134,70
135,72
136,32
137,168
138,92
139,11
140,45
141,32
142,148
143,94
144,98
145,106
146,29
147,170
148,53
149,32
150,419
151,82
152,36
153,133
154,213
155,260
156,325
157,165
158,102
159,81
160,127
161,24
162,76
163,27
164,85
166,24
167,68
168,25
170,15
171,23
172,224
173,159
174,92
175,25
176,25
177,40
178,114
179,19
180,81
181,23
182,42
183,97
184,166
185,68
188,47
190,36
191,32
192,75
193,19
195,50
196,58
198,106
199,11
200,69
201,14
202,152
205,17
206,100
207,11
209,75
210,13
212,81
213,14
214,107
215,30
216,12
220,25
224,166
226,149
227,12
228,38
230,90
231,24
235,28
237,30
238,37
240,116
242,152
244,225
245,27
247,15
248,680
249,82
250,88
252,363
253,25
254,19
255,220
256,107
258,76
259,48
261,16
262,13
264,17
266,27
267,32
268,551
269,95
270,708
271,167
272,203
273,47
274,149
275,12
276,318
277,44
278,103
280,258
281,30
283,22
284,191
285,101
286,198
287,73
289,12
290,36
292,19
293,16
294,17
295,13
296,11
298,41
300,160
302,749
303,124
304,93
305,24
306,50
310,19
312,79
314,77
316,35
318,94
326,13
327,26
328,206
329,56
330,17
331,12
334,25
338,146
339,21
340,74
344,11
353,14
356,11
358,32
360,15
362,40
363,78
364,285
365,57
366,1745
367,347
368,590
369,91
370,26
373,11
376,37
378,15
380,37
382,11
386,55
388,35
390,103
392,47
408,32
410,15
412,56
413,12
414,64
416,12
418,26
420,69
438,69
439,16
440,15
445,11
478,38
480,16
482,186
483,27
484,229
485,35
503,12
510,11
528,130
529,30
550,16
554,14
556,262
557,48
561,12
576,137
577,41
674,11
720,11
738,88
739,28
740,20
766,116
767,151
776,12
784,13
786,422
787,167
788,18
792,16
812,25
814,12
830,18
831,11
872,18
895,12
920,24
942,13
992,27
994,11
