"m.z","int"
102,212
103,19
110,6
112,12
114,6
115,15
118,128
120,17
121,6
122,10
123,27
124,6
125,24
127,6
128,6
129,10
130,156
132,64
133,107
134,8
135,15
137,9
138,8
140,13
141,12
142,29
143,17
144,18
145,11
146,14
147,394
148,17
150,18
152,6
153,15
154,6
155,33
156,1084
157,125
158,39
159,24
160,22
161,6
169,18
172,103
173,14
175,20
176,185
177,12
181,17
185,8
188,6
190,6
192,12
196,9
199,18
201,9
202,27
203,8
212,15
226,99
231,9
242,19
244,16
249,38
250,37
260,11
262,9
268,107
269,9
271,12
274,121
275,9
276,64
277,6
278,10
280,10
284,71
286,14
288,7
289,12
290,9
292,6
300,84
301,8
302,289
303,27
307,14
312,11
316,14
318,87
328,10
330,6
332,6
334,8
335,21
338,9
344,14
346,6
361,19
388,6
482,19
484,8
510,9
528,47
529,6
550,10
576,26
577,6
716,6
738,63
739,15
766,13
767,223
786,102
787,50
