"m.z","int"
103,6
105,219
106,137
107,13
108,19
111,11
115,13
116,42
118,6
120,436
121,67
122,79
123,6
124,150
125,17
126,22
129,44
131,157
132,196
133,276
134,56
135,6
136,61
137,19
138,1293
139,187
140,132
142,12
143,35
144,20
146,20
147,54
148,20
149,13
150,363
151,43
152,184
153,73
154,96
155,18
156,12
157,11
158,129
160,32
161,170
162,40
163,26
164,84
165,30
166,154
167,22
168,284
169,22
170,39
172,6
173,15
175,92
176,61
178,154
179,8
180,123
184,6
185,209
188,22
190,32
191,42
192,147
194,113
198,6
200,43
204,68
206,41
207,12
208,40
210,61
212,9
214,6
218,76
219,6
220,21
222,78
223,6
225,32
227,10
228,25
230,16
232,13
234,7
236,31
241,6
244,12
247,17
248,37
250,22
255,7
256,6
258,6
260,10
263,11
270,7
278,11
282,7
298,26
304,15
305,7
306,16
314,7
324,6
326,37
332,65
333,7
334,68
342,8
348,6
352,33
360,18
364,7
368,7
369,6
406,38
424,16
425,14
426,7
438,18
439,11
440,10
441,7
442,8
445,92
446,11
447,91
448,12
452,40
453,66
454,31
455,17
456,8
458,8
466,28
467,44
468,129
469,14
470,14
476,9
477,6
479,23
480,9
481,14
482,107
483,49
484,34
491,114
492,10
497,89
498,22
501,8
513,25
514,21
519,50
520,9
526,9
527,34
534,8
537,142
538,45
540,13
541,44
542,47
550,11
553,6
554,7
556,79
557,11
560,21
567,8
568,11
569,7
571,17
582,13
583,362
584,119
585,58
586,20
606,7
608,7
609,14
613,7
614,8
615,198
616,70
617,24
623,20
624,9
625,19
628,11
630,14
631,304
632,100
633,21
643,34
644,11
651,6
692,10
757,108
758,41
759,7
767,237
770,6
779,26
780,6
785,22
787,16
790,50
791,19
792,40
793,6
801,114
802,55
803,6
807,291
808,140
809,22
818,9
819,7
823,37
824,19
829,168
830,93
831,14
836,20
838,9
849,14
850,9
879,65
880,24
893,348
894,239
895,57
896,16
901,19
902,7
947,9
949,8
952,80
953,26
954,73
955,35
998,7
