"m.z","int"
103,32
105,22
108,32
109,10
117,28
120,48
121,29
124,6
126,148
131,113
132,12
133,20
134,8
135,62
136,21
138,27
139,22
143,158
149,51
150,47
151,51
152,8
153,307
154,54
155,37
156,9
157,8
158,26
159,18
164,13
165,16
166,41
167,95
168,21
170,7
171,21
172,12
173,43
175,82
176,8
178,32
179,6
180,35
181,20
182,55
183,26
184,77
185,32
189,63
191,44
192,26
193,6
194,37
195,14
196,7
197,6
198,13
199,6
200,58
204,6
205,47
206,16
207,11
208,29
209,27
210,9
211,28
214,16
215,7
216,18
219,8
220,9
221,6
222,8
223,24
224,25
225,9
227,9
229,12
230,6
231,19
232,8
233,7
235,7
236,8
237,8
238,24
240,435
241,39
242,6
243,35
245,17
246,10
247,30
250,7
251,9
254,29
256,43
258,9
259,13
261,15
263,27
266,6
273,7
276,105
277,8
278,15
280,22
289,17
291,38
292,40
293,7
303,6
304,58
307,145
308,16
310,8
318,16
320,17
321,6
322,7
326,53
329,6
332,6
334,17
338,21
345,8
347,23
348,13
360,19
361,6
363,15
364,18
365,9
369,7
376,7
378,6
407,6
431,8
445,8
447,7
455,19
456,6
491,12
505,6
583,33
584,10
628,34
631,7
757,33
758,8
770,266
790,10
801,9
807,22
808,9
829,10
830,6
893,8
954,8
