"m.z","int"
124,26
132,100
134,41
136,40
138,49
139,16
140,305
145,12
154,30
158,14
159,39
166,14
167,31
168,15
170,38
171,20
172,54
174,14
178,22
179,14
180,20
182,65
185,93
192,15
194,29
196,43
199,139
209,40
219,18
223,29
224,11
230,41
235,13
241,12
245,30
259,67
261,15
263,37
277,11
289,11
305,56
319,93
349,11
365,35
379,43
422,11
424,11
438,16
439,14
440,13
452,25
453,33
454,15
457,75
466,12
467,28
468,120
469,28
482,87
483,55
484,12
493,22
498,19
499,17
514,26
527,27
537,30
538,15
541,25
542,55
543,17
553,37
556,49
557,11
560,19
567,11
572,18
583,49
584,17
599,12
600,13
614,16
615,263
616,95
617,51
618,12
630,16
631,14
642,11
658,12
659,155
660,70
661,13
675,17
766,55
767,159
893,582
894,382
895,105
896,40
909,43
910,19
925,12
