"m.z","int"
103,56
105,22
107,300
108,21
109,317
112,61
116,105
118,37
120,274
121,40
126,103
129,105
130,22
131,206
132,118
134,40
135,170
136,405
137,59
138,435
139,22
140,20
142,42
143,305
145,22
146,100
148,95
149,85
150,488
151,329
152,62
153,43
154,588
155,156
156,323
157,29
158,153
160,111
164,113
165,34
166,369
167,59
168,38
169,24
170,17
171,23
172,49
173,54
175,111
176,52
178,470
180,34
181,20
182,80
183,54
185,73
186,100
189,19
190,97
191,71
192,1460
193,235
194,261
195,17
196,18
198,59
200,390
204,40
206,75
207,288
208,180
212,22
214,45
216,49
218,111
220,275
222,80
223,175
228,43
232,170
234,434
235,18
236,89
240,1640
241,153
242,18
243,26
245,34
246,142
247,60
248,109
249,22
250,146
254,148
256,46
258,323
259,49
260,51
262,167
263,16
264,54
270,16
272,37
274,76
276,1787
277,315
278,182
280,236
282,89
286,26
288,90
290,167
291,336
292,143
293,25
294,21
300,41
303,50
304,186
306,304
307,150
308,55
310,58
312,45
314,94
316,33
318,363
320,23
323,19
324,32
326,309
327,28
328,19
334,25
338,489
339,89
340,46
346,24
347,22
348,71
353,28
360,58
372,111
374,18
380,17
386,18
388,18
405,33
412,19
418,26
424,31
426,30
434,28
438,62
439,36
440,76
442,18
446,59
451,16
452,98
453,161
454,91
455,39
456,148
460,47
461,60
462,24
465,21
466,78
467,122
468,414
469,95
470,54
482,284
483,140
484,85
492,18
498,18
499,29
500,17
503,22
506,21
508,361
509,21
510,61
512,29
514,118
515,19
519,26
520,79
521,25
527,83
528,18
530,54
534,44
537,228
538,93
541,85
542,172
543,35
548,47
549,38
556,194
557,31
560,24
562,30
572,18
582,20
583,96
584,22
592,16
593,205
594,52
595,16
608,29
609,16
614,30
615,587
616,193
617,89
625,21
641,23
642,140
643,40
658,30
659,672
660,252
661,25
735,16
740,259
741,106
742,115
743,21
744,42
773,266
787,35
792,439
793,194
794,85
795,32
834,18
852,34
853,16
893,764
894,501
895,173
896,34
