"m.z","int"
105,19
106,53
107,19
110,44
113,14
116,16
117,17
121,113
122,56
123,14
124,58
125,23
129,33
131,65
132,282
133,110
134,75
136,4428
137,95
138,53
139,114
140,139
141,209
147,18
149,68
151,38
152,215
153,18
154,60
156,11
157,206
158,1444
159,47
161,164
162,77
163,52
164,66
165,119
166,183
168,434
169,113
170,68
172,87
173,161
174,167
175,90
176,37
177,106
178,307
179,71
180,187
182,48
184,13
185,33
186,48
187,16
188,34
189,40
190,13
191,46
192,115
193,179
194,216
195,137
196,22
197,19
198,13
200,35
201,43
202,19
203,13
204,32
205,34
206,44
207,29
208,185
209,44
210,68
211,70
212,13
215,16
217,36
218,139
219,103
221,23
222,186
223,68
224,34
227,14
230,28
231,46
233,21
235,108
236,11
240,28
244,13
245,89
248,214
249,12
250,12
251,78
253,57
254,12
256,19
259,11
261,109
263,164
264,13
267,18
269,17
271,12
273,11
274,18
275,31
279,72
282,16
286,28
294,19
295,84
299,15
301,19
304,40
305,52
306,142
307,23
308,13
309,43
314,56
318,16
319,21
322,14
326,91
330,14
332,11
334,106
339,47
347,27
349,13
352,74
354,325
355,37
362,13
368,20
370,23
372,17
400,32
414,49
416,24
417,13
418,24
432,15
433,11
442,24
444,59
445,21
446,71
447,28
448,11
452,16
453,14
454,14
460,80
461,84
462,37
467,18
468,81
476,24
482,49
488,15
490,16
492,12
505,19
506,28
519,64
520,226
521,61
534,67
535,15
536,14
537,27
542,23
547,82
548,195
549,110
550,39
556,24
564,43
565,81
566,16
567,26
574,11
583,17
592,35
593,421
594,217
595,30
615,131
616,72
617,15
659,139
660,56
682,11
767,191
893,307
894,180
895,18
896,11
