"m.z","int"
120,57
132,23
138,310
150,72
154,187
156,22
158,28
161,25
170,25
171,86
178,21
179,37
187,33
188,97
192,24
194,25
204,21
208,21
218,27
219,33
221,25
222,22
262,36
281,34
294,34
306,87
314,47
326,398
327,69
468,70
482,40
483,22
508,186
537,61
554,35
556,27
583,85
584,29
598,21
602,24
615,131
616,65
625,21
659,140
660,68
674,38
740,25
742,74
768,81
787,47
792,269
793,127
794,29
826,27
838,58
839,40
846,83
847,43
852,82
853,62
862,28
863,22
864,23
872,53
873,42
874,56
875,40
882,44
888,27
889,21
890,45
891,25
893,280
894,229
895,58
958,80
959,28
