"m.z","int"
105,17
106,135
110,26
116,148
120,584
121,45
122,61
124,97
129,167
130,39
131,180
132,192
134,88
135,67
137,18
138,1585
139,176
140,198
142,66
144,43
146,142
150,692
151,25
152,236
154,461
155,116
156,132
157,26
158,24
160,85
163,28
164,42
166,116
168,178
169,24
170,64
172,69
174,29
175,93
176,31
178,133
179,17
180,71
181,22
184,34
185,299
186,43
194,61
195,31
196,19
198,61
200,104
210,17
212,25
214,17
222,51
224,23
229,36
232,32
236,56
241,26
243,20
250,17
272,61
280,50
282,60
294,78
296,32
297,25
306,174
310,37
312,196
314,251
318,27
324,153
326,255
327,28
330,23
332,36
334,56
338,61
346,18
352,87
403,16
411,20
412,53
413,22
414,26
422,22
423,46
424,184
425,124
426,88
427,60
428,44
430,60
436,57
437,88
438,239
439,174
440,285
441,128
442,159
443,28
448,16
450,41
451,155
452,495
453,686
454,361
455,110
456,195
457,48
458,36
461,18
462,116
463,38
464,19
465,87
466,413
467,517
468,1462
469,601
470,129
471,61
480,66
481,100
482,1070
483,700
484,453
485,98
486,21
490,25
493,70
495,141
496,40
498,109
499,124
500,58
501,24
503,117
506,29
508,864
509,145
510,135
512,120
513,23
514,361
515,236
517,210
518,22
521,54
523,16
526,56
527,308
528,148
537,813
538,325
539,88
540,74
541,261
542,598
543,344
544,28
553,55
554,80
555,26
556,655
557,301
558,42
560,235
561,50
565,55
568,87
570,54
571,31
572,71
573,24
582,46
583,572
584,257
585,21
587,25
588,19
598,16
599,55
600,139
601,60
602,68
614,123
615,2383
616,1218
617,399
618,91
630,41
632,50
641,34
642,60
643,22
658,151
659,2151
660,1076
661,265
674,22
675,53
676,25
740,32
769,75
792,82
793,32
808,19
812,28
834,40
835,31
871,16
891,151
892,202
893,3579
894,2930
895,1463
896,514
897,90
908,30
909,136
910,91
911,37
