"m.z","int"
103,15
107,19
109,13
116,10
120,16
126,53
131,46
132,7
135,19
138,39
143,64
150,107
154,14
165,15
182,7
183,9
186,9
191,16
200,29
205,7
214,37
216,7
238,12
240,274
241,17
243,8
245,10
246,12
247,11
254,10
256,12
258,8
276,112
277,6
278,8
280,119
286,78
287,10
291,17
292,39
300,12
303,11
304,41
306,35
307,55
310,9
312,141
313,11
314,92
316,38
318,97
326,124
327,11
328,7
330,92
332,31
334,28
338,37
340,93
341,18
347,57
348,10
350,17
352,328
353,28
354,60
355,8
356,27
358,23
362,18
368,12
386,9
390,14
398,6
412,12
426,8
430,8
431,7
436,26
438,20
452,7
453,8
462,12
466,6
467,10
468,30
482,14
483,8
484,6
488,11
507,8
508,8
510,8
512,86
513,15
514,28
530,10
537,31
542,10
568,6
574,8
582,6
583,10
599,6
615,71
616,24
654,7
658,17
659,220
660,89
661,12
674,33
675,8
676,6
680,17
772,288
893,139
894,76
895,16
