"m.z","int"
106,23
111,20
113,22
115,8
122,83
124,117
125,8
126,9
130,16
132,7
136,12
137,14
138,20
139,17
140,22
142,6
150,6
152,40
154,19
156,9
158,206
159,7
164,8
165,7
166,40
168,236
169,16
170,40
174,6
178,56
180,30
182,7
185,15
186,7
193,7
194,15
197,9
208,28
214,8
218,22
222,29
248,6
250,6
254,18
452,12
453,33
466,7
467,26
468,78
469,15
482,65
483,23
484,6
514,10
527,9
537,40
538,11
541,10
542,28
556,29
557,6
567,49
568,15
614,10
615,133
616,54
658,6
659,135
660,46
766,235
893,188
894,107
895,25
