"m.z","int"
101,957
102,255
103,592
104,370
105,3029
106,1279
107,3597
108,1260
109,3777
110,2128
112,1589
113,1382
114,7193
115,4638
116,709
117,549
118,494
119,1020
120,6391
121,1359
122,24675
123,12403
124,2633
125,452
126,835
129,737
130,2279
131,2199
132,9473
133,1101
134,4061
135,3103
136,12200
137,5396
138,8076
139,1562
140,2682
141,9389
142,1145
143,1129
144,1089
145,1218
146,1005
147,742
148,990
149,494
150,244388
151,22619
152,7369
153,912
154,5014
155,1958
156,3164
157,3271
158,11739
159,1808
160,564
161,964
162,3608
163,3423
164,2118
165,14787
166,10300
167,2300
168,5799
169,1116
170,4183
171,1020
172,20304
173,3641
174,20533
175,2617
176,7519
177,2417
178,67307
179,14153
180,8320
181,3581
182,13705
183,1841
184,4954
185,699
186,9002
187,3491
188,2616
189,558
190,2329
191,2863
192,24014
193,4115
194,11744
195,4317
196,7519
197,4296
198,3739
199,1338
200,7404
201,1916
202,3134
203,426
204,2797
205,550
206,2993
207,1372
208,14099
209,2337
210,7787
211,1156
212,3270
213,738
214,6419
215,1457
216,18611
217,1858
218,45976
219,7828
220,4901
221,3831
222,14353
223,6446
224,34425
225,5714
226,5650
227,482
228,3075
229,1774
230,3847
231,761
232,4581
233,356
234,13103
235,54895
236,19271
237,5234
238,7034
239,1739
240,10979
241,4153
242,3647
243,15848
244,3430
245,1841
246,2594117
247,352869
248,37874
249,4604
250,19992
251,4847
252,17887
253,2378
254,68480
255,11905
256,8677
257,6397
258,7717
259,3231
260,28142
261,4435
262,311342
263,38702
264,75893
265,16948
266,18153
267,4240
268,8805
269,2286
270,13588
271,1952
272,17225
273,6105
274,33785
275,6602
276,15616
277,2927
278,35013
279,8008
280,33482
281,7065
282,45783
283,11134
284,23743
285,2320
286,4806
287,358
288,7707
289,1759
290,23515
291,5063
292,32752
293,8306
294,19359
295,8539
296,7948
297,7734
298,13209
299,2870
300,26110
301,6322
302,273414
303,48742
304,13731
305,3156
306,61355
307,12905
308,24681
309,4977
310,186942
311,32952
312,9171
313,4395
314,4883
315,2221
316,7379
317,5851
318,35598
319,7574
320,14517
321,2465
322,15836
323,2052
324,8273
325,1288
326,22114
327,3687
328,4886
329,1323
330,3509
331,991
332,4802
333,2616
334,11773
335,2303
336,142648
337,38138
338,22560
339,5570
340,5934
341,2869
342,4198
343,900
344,2709
345,1049
346,16910
347,2445
348,6111
349,7399
350,5313
351,7365
352,39457
353,8619
354,10590
355,2596
356,2211
357,1789
358,2377
359,1738
360,1532
361,1022
362,87746
363,19078
364,4759
365,1792
366,10700
367,2486
368,3272
369,1235
370,3014
371,2012
372,3208
373,2888
374,4393
375,2969
376,3523
377,7173
378,32913
379,7606
380,6607
381,1466
382,3293
383,753
384,2564
385,2559
386,2740
387,411
388,3024
390,3842
391,3507
392,9436
393,3332
394,18172
395,4669
396,4359
397,10357
398,2102
399,3270
400,3677
401,5722
402,2233
403,1279
404,2849
405,10428
406,2796
407,1278
408,2312
409,858
410,4234
411,3587
412,3175
413,1330
414,43774
415,10747
416,2223
417,1263
418,2407
419,2628
420,1561
421,525
422,1298
423,798
424,1618
425,3453
426,7810
427,4036
428,2412
429,979
430,7939
431,2991
432,781
433,2576
434,1095
435,1896
436,4228
437,1884
438,1386
439,1104
440,2195
441,829
442,12548
443,2990
444,1279
445,175
446,1911
447,700
449,328
450,665
451,1216
452,650
453,1023
455,1311
456,3050
457,2574
458,4888
459,2770
460,841
461,171
462,976
463,381
465,464
466,161
467,475
468,364715
469,103911
470,22402
471,4103
472,1819
473,184
474,1409
475,298
476,3207
477,674
479,372
480,1678
481,458
482,920
483,834
484,6199
485,2342
486,7636
487,2928
488,4696
489,2905
490,960
491,1442
492,150
493,1301
495,670
496,1067
497,318
498,409
500,791
501,935
502,2465
503,1179
504,456
505,142
507,144
508,4151
509,1236
510,285
511,241
512,431
513,649
514,1542
515,1122
516,2873
517,1073
518,240
521,285
522,478
524,22357
525,9363
526,2244
527,735
528,3244
529,1129
530,762
531,338
532,10975
533,3061
534,427
535,133
536,890
537,1133
538,306
539,140
541,129
542,6680
543,3572
544,2158
545,980
546,145
547,471
548,129
549,792
550,382
551,560
553,415
556,1107
557,519
558,7877
559,3123
560,1884
561,557
562,2948
563,1061
564,140
565,660
566,137
567,225
569,178
571,127
572,493
573,342
574,2692
575,1071
576,203
578,542
579,152
580,253
583,144
584,340
585,250
586,168
587,148
588,1700
589,1516
590,2906
591,1316
592,169
599,488
604,306
605,294
606,408
607,435
609,380
611,701
612,209
613,161
614,191
615,129
616,18780
617,10107
618,6879
619,2632
620,903
621,224
630,455
631,411
632,3631
633,2158
634,1578
635,680
636,1950
637,623
650,307
651,135
657,933
658,321
664,461
665,313
670,221
678,143
679,1987
680,801
681,156
682,1955
683,1011
684,217
690,2940
691,1638
692,1240
693,484
694,139
695,207
698,312
699,134
704,147
705,538
706,763
707,492
708,238
718,472
719,203
720,266
722,336
723,198
724,1189
725,483
727,394
728,158
731,2601
732,1127
733,524
734,177
740,897
741,420
742,2514
743,1033
744,2206
745,1000
746,1829
747,786
748,828
749,362
750,1246
751,527
752,701
753,5724
754,2783
755,686
756,351
757,389
758,721
759,1363
760,1053
761,321
762,718
763,369
764,960
765,495
766,791
768,199
769,622
770,770
771,215
772,560
773,214
774,159
775,243
778,175
779,857
780,532
781,2490
782,1194
783,503
784,538
785,306
786,131
788,566
789,388
790,1380
791,705
792,10495
793,4795
794,2196
795,769
796,756
797,604
798,269
800,329
801,348
802,149
803,694
804,467
805,784
806,646
807,263
808,2211
809,1288
810,927
811,334
812,166
816,892
817,555
818,299
820,1726
821,859
822,269
823,320
824,224
825,530
826,353
827,1398
828,682
829,249
831,276
832,533
833,181
836,375
837,178
838,1095
839,671
840,279
841,126
843,152
846,284
847,430
848,219
849,3482
850,1801
851,866
852,585
853,632
854,461
855,230
865,451
866,208
872,206
873,211
874,281
875,1476
876,800
877,357
880,143
882,222
891,155
893,244
894,185
898,239
912,616
913,460
914,282
915,126
916,285
917,190
919,171
958,1165
959,611
960,389
962,211
974,170
