"m.z","int"
103,9
106,6
113,6
116,10
120,29
131,39
132,32
134,17
135,14
136,45
138,67
140,8
142,7
143,291
147,8
149,9
150,56
154,52
155,21
156,11
158,100
159,22
160,8
164,6
165,197
166,19
168,9
170,11
172,52
173,7
175,9
176,12
178,27
181,82
182,13
183,10
185,21
186,101
189,9
190,7
191,9
192,24
194,24
197,21
200,18
204,14
205,22
208,6
214,47
216,8
218,11
220,6
222,11
223,19
232,13
234,8
238,17
239,8
240,84
241,6
243,43
245,43
246,25
247,22
250,7
255,12
256,8
257,23
259,14
261,8
263,16
267,12
271,22
272,7
276,29
282,7
285,7
286,12
306,24
307,15
308,7
310,14
312,6
315,9
322,16
325,20
326,23
329,40
330,21
334,12
345,9
346,6
347,64
349,6
360,18
363,21
365,10
373,10
375,11
409,11
424,11
426,7
427,8
428,6
431,28
433,7
438,15
440,12
442,11
447,7
449,8
450,7
452,39
453,44
454,33
456,8
462,7
466,20
467,20
468,115
469,36
470,9
482,83
483,48
484,20
491,13
498,7
508,16
514,16
526,6
527,19
537,41
538,9
540,8
541,10
542,33
543,7
551,6
556,32
557,7
560,9
566,6
567,130
568,49
583,24
600,11
608,6
610,7
615,184
616,42
617,9
658,9
659,140
660,49
661,9
770,274
784,7
792,79
793,41
794,9
796,6
810,7
811,6
838,9
839,8
893,237
894,170
895,41
896,13
958,33
959,16
