"m.z","int"
103,9
105,116
106,13
110,37
111,11
113,236
115,103
116,76
117,12
118,8
120,282
121,68
122,31
125,11
126,8
129,92
130,18
131,160
132,154
133,10
134,51
135,38
136,477
137,20
138,343
139,55
140,31
141,23
142,40
143,266
144,21
145,36
146,67
147,44
148,22
149,180
150,222
151,123
152,95
153,18
154,203
155,103
156,83
157,76
158,167
159,65
160,53
161,76
162,31
163,21
164,40
165,847
166,84
167,91
168,73
169,36
170,94
171,6
172,207
173,20
174,111
175,217
176,39
177,41
178,199
179,41
180,135
181,599
182,11
183,25
184,17
185,230
186,242
187,55
188,44
189,7
190,155
191,52
192,182
193,28
194,104
195,23
196,70
197,396
198,35
199,100
200,88
201,40
202,118
203,16
204,43
205,89
206,136
207,62
208,110
210,50
212,121
213,104
214,371
215,71
216,54
217,90
218,48
219,55
220,34
221,65
222,123
223,104
224,39
225,19
226,7
227,6
228,42
229,66
230,277
231,41
232,160
233,68
234,59
235,16
236,84
237,33
238,37
239,58
240,425
241,86
242,6
243,30
244,39
245,57
246,146
247,26
248,28
249,10
250,44
252,40
254,40
255,14
256,358
257,43
258,56
259,10
260,38
261,18
262,159
263,28
264,12
265,6
266,12
267,11
268,20
270,35
271,49
272,27
273,9
274,26
276,140
277,15
278,30
279,9
280,6
281,7
282,31
283,13
284,8
286,84
287,26
288,13
290,8
291,28
294,23
298,20
299,6
302,19
303,22
304,105
305,21
306,159
307,10
308,16
310,47
312,57
314,51
318,95
321,6
324,34
326,249
327,41
328,20
330,38
332,8
334,18
336,6
342,29
346,70
348,49
352,6
360,89
361,17
364,20
366,12
402,16
406,9
410,8
411,10
412,18
413,13
414,7
422,8
423,20
424,56
425,41
426,51
427,24
428,37
430,27
431,8
434,6
436,22
437,30
438,90
439,77
440,118
441,60
442,60
443,26
450,21
451,66
452,177
453,182
454,149
455,46
456,75
457,9
458,6
461,19
462,82
463,42
464,22
465,44
466,121
467,188
468,487
469,156
470,95
471,8
472,8
476,11
477,7
478,18
480,30
481,39
482,377
483,239
484,131
485,17
486,8
490,22
491,7
496,20
497,6
498,37
499,42
500,22
503,14
507,7
508,209
509,34
510,41
511,6
512,35
513,14
514,87
515,28
516,6
519,7
521,6
522,33
524,24
525,17
526,22
527,72
528,23
530,10
536,20
537,471
538,179
539,13
540,25
541,79
542,183
543,54
544,10
548,8
550,26
552,6
553,24
554,14
555,6
556,203
557,34
558,6
560,46
561,6
565,24
566,23
567,309
568,115
569,17
570,32
572,19
574,9
582,18
583,127
584,29
585,6
590,10
591,7
596,7
598,8
599,10
600,41
608,13
609,6
614,43
615,646
616,192
617,90
618,12
625,6
628,6
641,8
642,20
657,9
658,59
659,588
660,212
661,24
674,12
690,8
698,14
758,9
769,6
772,303
781,10
792,209
793,80
794,23
795,7
796,7
806,9
808,72
809,34
810,8
826,14
827,48
828,18
830,7
834,9
849,9
852,9
853,9
854,15
865,19
871,13
875,7
892,13
893,834
894,566
895,136
896,31
909,7
958,26
959,11
974,15
